timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-02-15,134.2900,138.1900,133.9100,138.0300,97.0313,17299173,0.0000
2019-02-08,134.0200,136.6500,132.1200,133.7100,93.9945,21874687,1.5700
2019-02-01,133.1000,135.4100,132.5800,134.1000,93.1704,23585862,0.0000
2019-01-25,123.3000,135.0000,121.5400,133.9700,93.0800,44147478,0.0000
2019-01-18,120.5100,124.7200,119.7600,123.8200,86.0280,23616108,0.0000
2019-01-11,117.5000,121.8600,116.6700,121.4600,84.3883,19780844,0.0000
2019-01-04,113.3300,117.4900,111.6900,117.3200,81.5119,18047093,0.0000
2018-12-28,109.9000,114.8000,105.9400,113.0300,78.5313,21630293,0.0000
2018-12-21,119.0700,120.2700,110.4400,110.9400,77.0792,39485288,0.0000
2018-12-14,119.7400,123.8100,118.5200,119.9000,83.3045,23701178,0.0000
2018-12-07,125.6700,126.5900,118.8700,119.3400,82.9154,25801474,0.0000
2018-11-30,118.3700,124.6900,118.0600,124.2700,86.3407,27471124,0.0000
2018-11-23,121.6300,122.1800,116.7000,117.1900,81.4216,18035587,0.0000
2018-11-16,123.5000,123.5700,119.5100,121.5700,84.4647,23510061,0.0000
2018-11-09,116.1000,125.0600,116.0000,123.5400,85.8335,48482997,1.5700
2018-11-02,119.3400,123.9500,114.0900,115.6700,79.3557,87773431,0.0000
2018-10-26,129.5800,131.9000,123.7100,124.7900,85.6125,36964774,0.0000
2018-10-19,140.3800,145.4500,127.9600,129.1000,88.5694,50928336,0.0000
2018-10-12,148.5000,149.0700,138.7800,140.8500,96.6305,27703434,0.0000
2018-10-05,151.7100,154.3600,147.8700,149.0300,102.2424,18943237,0.0000
2018-09-28,151.1000,153.3500,148.3600,151.2100,103.7380,22847744,0.0000
2018-09-21,148.4400,152.6000,147.4700,151.3500,103.8341,37327961,0.0000
2018-09-14,146.6000,149.3000,145.2500,148.3300,101.7622,20298346,0.0000
2018-09-07,145.9800,147.6600,144.8100,145.4500,99.7864,15394651,0.0000
2018-08-31,146.9400,147.9300,145.2500,146.4800,100.4930,15929583,0.0000
2018-08-24,146.3700,147.1600,144.7500,146.0400,100.1911,12992907,0.0000
2018-08-17,144.1500,146.3900,142.0000,146.0600,100.2049,17890077,0.0000
2018-08-10,146.9500,147.6400,143.8800,144.4800,99.1209,17100909,1.5700
2018-08-03,144.8000,147.9200,142.3300,147.7000,100.2429,24366161,0.0000
2018-07-27,146.3500,149.2700,144.6600,145.1500,98.5122,19940363,0.0000
2018-07-20,145.6700,150.5400,142.7400,146.3500,99.3266,36572622,0.0000
2018-07-13,142.5900,146.9800,142.4700,145.9000,99.0212,17395351,0.0000
2018-07-06,138.2800,142.9400,138.2000,142.4800,96.7001,12024030,0.0000
2018-06-29,140.4000,141.3600,137.4500,139.7000,94.8133,25451478,0.0000
2018-06-22,144.1800,144.5200,140.7800,141.2800,95.8857,21004666,0.0000
2018-06-15,146.6200,147.5200,143.7000,145.3900,98.6751,21311072,0.0000
2018-06-08,142.3000,146.7000,142.1800,146.1400,99.1841,18618365,0.0000
2018-06-01,142.5300,143.1000,140.2100,141.9500,96.3404,20343954,0.0000
2018-05-25,144.9500,146.2000,142.9500,143.6400,97.4874,16951460,0.0000
2018-05-18,144.4700,145.1900,142.9200,144.0800,97.7860,16304020,0.0000
2018-05-11,144.0000,144.8500,141.2800,144.1400,97.8267,20021856,1.5700
2018-05-04,146.8600,147.3800,139.9000,143.9100,96.6071,23464605,0.0000
2018-04-27,145.0300,147.3600,144.1100,146.4800,98.3323,25028049,0.0000
2018-04-20,157.9900,162.0000,144.5100,144.9000,97.2717,51127683,0.0000
2018-04-13,151.8000,159.2200,151.7400,156.7100,105.1998,21372171,0.0000
2018-04-06,153.3400,154.9200,147.4500,150.5700,101.0780,20949699,0.0000
2018-03-29,151.2100,154.8700,150.2800,153.4300,102.9979,14934365,0.0000
2018-03-23,159.7100,159.8900,148.5400,148.8900,99.9502,21959274,0.0000
2018-03-16,159.6400,162.1100,157.7400,160.2600,107.5829,25076217,0.0000
2018-03-09,154.1200,159.5800,153.7500,159.3100,106.9451,22842811,0.0000
2018-03-02,155.8100,159.7800,151.8800,154.4900,103.7095,18831762,0.0000
2018-02-23,155.7900,156.7900,152.7900,155.5200,104.4009,14987102,0.0000
2018-02-16,150.9000,157.7900,149.6400,156.1800,104.8440,25701914,0.0000
2018-02-09,157.8900,158.5000,144.4000,149.5100,100.3664,38856237,1.5000
