time,MINUS_DI
2023-10-20,37.4154
2023-10-19,37.3854
2023-10-18,32.6059
2023-10-17,34.0072
2023-10-16,29.7941
2023-10-13,31.9421
2023-10-12,21.9767
2023-10-11,17.9298
2023-10-10,19.1768
2023-10-09,20.9871
2023-10-06,22.9672
2023-10-05,26.6972
2023-10-04,28.9553
2023-10-03,30.7834
2023-10-02,33.4329
2023-09-29,36.1476
2023-09-28,37.7898
2023-09-27,35.4295
2023-09-26,32.5469
2023-09-25,20.1567
2023-09-22,18.2786
2023-09-21,16.8850
2023-09-20,14.6802
2023-09-19,20.1684
2023-09-18,20.2787
2023-09-15,18.9928
2023-09-14,15.1941
2023-09-13,16.5856
2023-09-12,17.8319
2023-09-11,7.7505
2023-09-08,8.4473
2023-09-07,8.2425
2023-09-06,9.0776
2023-09-05,6.6210
2023-09-01,7.2943
2023-08-31,7.9406
2023-08-30,8.5804
2023-08-29,9.2435
2023-08-28,9.8937
2023-08-25,10.8396
2023-08-24,12.1901
2023-08-23,13.1238
2023-08-22,14.7372
2023-08-21,16.5085
2023-08-18,17.7880
2023-08-17,14.8901
2023-08-16,16.8037
2023-08-15,14.4518
2023-08-14,11.8511
2023-08-11,10.5926
2023-08-10,8.6287
2023-08-09,9.6368
2023-08-08,11.1128
2023-08-07,7.7035
2023-08-04,8.7296
2023-08-03,9.8239
2023-08-02,10.9461
2023-08-01,12.2606
2023-07-31,5.5738
2023-07-28,5.9584
2023-07-27,6.3330
2023-07-26,7.1869
2023-07-25,7.7443
2023-07-24,8.3345
2023-07-21,8.9252
2023-07-20,9.8738
2023-07-19,12.8098
2023-07-18,13.7690
2023-07-17,15.1553
2023-07-14,16.4733
2023-07-13,15.0613
2023-07-12,16.9153
2023-07-11,19.5976
2023-07-10,21.4414
2023-07-07,22.7319
2023-07-06,25.3651
2023-07-05,23.3214
2023-07-03,24.0047
2023-06-30,22.9083
2023-06-29,24.8813
2023-06-28,28.5490
2023-06-27,30.7415
2023-06-26,34.2512
2023-06-23,38.1323
2023-06-22,34.1479
2023-06-21,25.1883
2023-06-20,13.8172
2023-06-16,5.9286
2023-06-15,6.6192
2023-06-14,7.2359
2023-06-13,8.0638
2023-06-12,9.0840
2023-06-09,9.7599
2023-06-08,10.8193
2023-06-07,12.0177
2023-06-06,13.5618
2023-06-05,12.2233
2023-06-02,13.0603
2023-06-01,15.4603
2023-05-31,17.5392
2023-05-30,14.9956
2023-05-26,16.5325
2023-05-25,19.3997
2023-05-24,19.2204
2023-05-23,11.8555
2023-05-22,13.3817
2023-05-19,14.2583
2023-05-18,16.2266
2023-05-17,17.5741
2023-05-16,20.3228
2023-05-15,22.1635
2023-05-12,24.0368
2023-05-11,27.0257
2023-05-10,26.4363
2023-05-09,28.7058
2023-05-08,29.5587
2023-05-05,30.4196
2023-05-04,33.0309
2023-05-03,27.9248
2023-05-02,31.5058
2023-05-01,20.6849
2023-04-28,21.4926
2023-04-27,23.4124
2023-04-26,25.3971
2023-04-25,27.2931
2023-04-24,29.2663
2023-04-21,27.9292
2023-04-20,27.1294
2023-04-19,34.6413
2023-04-18,28.0784
2023-04-17,30.0614
2023-04-14,30.4149
2023-04-13,34.5550
2023-04-12,27.4198
2023-04-11,20.1510
2023-04-10,21.1631
2023-04-06,17.4818
2023-04-05,13.9207
2023-04-04,14.8191
2023-04-03,15.7485
2023-03-31,17.1634
2023-03-30,18.8263
2023-03-29,20.9938
2023-03-28,22.1206
2023-03-27,22.9350
2023-03-24,28.3599
2023-03-23,31.7953
2023-03-22,28.5757
2023-03-21,24.8845
2023-03-20,26.6836
2023-03-17,29.9099
2023-03-16,32.4394
2023-03-15,37.0614
2023-03-14,35.0264
2023-03-13,32.6102
2023-03-10,38.9691
2023-03-09,38.9201
2023-03-08,35.3851
2023-03-07,34.0629
2023-03-06,30.1670
2023-03-03,32.4214
2023-03-02,34.4949
2023-03-01,37.1906
2023-02-28,33.1061
2023-02-27,30.4688
2023-02-24,33.1923
2023-02-23,35.7902
2023-02-22,33.6637
2023-02-21,29.6568
2023-02-17,23.0819
2023-02-16,21.4640
2023-02-15,20.9941
2023-02-14,22.4188
2023-02-13,21.0120
2023-02-10,22.8316
2023-02-09,25.3357
2023-02-08,28.2742
2023-02-07,30.3426
2023-02-06,30.7584
2023-02-03,30.9009
2023-02-02,32.7611
2023-02-01,35.2780
2023-01-31,35.6722
2023-01-30,37.5009
2023-01-27,40.6373
2023-01-26,43.2639
2023-01-25,29.4075
2023-01-24,29.3457
2023-01-23,28.1819
2023-01-20,30.6225
2023-01-19,32.3931
2023-01-18,33.7926
2023-01-17,19.0695
2023-01-13,21.0142
2023-01-12,20.6857
2023-01-11,22.7155
2023-01-10,24.8484
2023-01-09,24.7802
2023-01-06,26.9997
2023-01-05,30.7612
2023-01-04,28.2636
2023-01-03,31.0619
2022-12-30,32.9150
2022-12-29,31.0224
2022-12-28,33.7628
2022-12-27,32.5209
2022-12-23,34.3400
