time,PLUS_DI
2024-07-25,47.9912
2024-07-24,28.9007
2024-07-23,30.8201
2024-07-22,31.8933
2024-07-19,34.0596
2024-07-18,39.8967
2024-07-17,40.6492
2024-07-16,40.0441
2024-07-15,39.2960
2024-07-12,39.8620
2024-07-11,30.7842
2024-07-10,29.4518
2024-07-09,33.7934
2024-07-08,36.5178
2024-07-05,30.6695
2024-07-03,33.0599
2024-07-02,34.6267
2024-07-01,34.8837
2024-06-28,28.3482
2024-06-27,27.8735
2024-06-26,29.8654
2024-06-25,32.1922
2024-06-24,37.1662
2024-06-21,32.1180
2024-06-20,34.0178
2024-06-18,24.3435
2024-06-17,22.4237
2024-06-14,23.4562
2024-06-13,25.6070
2024-06-12,26.8484
2024-06-11,21.5318
2024-06-10,24.7979
2024-06-07,26.7187
2024-06-06,18.2964
2024-06-05,16.8807
2024-06-04,12.7531
2024-06-03,14.0005
2024-05-31,15.8373
2024-05-30,17.8211
2024-05-29,19.8358
2024-05-28,22.6560
2024-05-24,24.9053
2024-05-23,26.6666
2024-05-22,32.4288
2024-05-21,35.4072
2024-05-20,21.1407
2024-05-17,18.0441
2024-05-16,19.4784
2024-05-15,15.4785
2024-05-14,15.2196
2024-05-13,16.1978
2024-05-10,16.9712
2024-05-09,16.2172
2024-05-08,17.5079
2024-05-07,15.6824
2024-05-06,14.4278
2024-05-03,9.5089
2024-05-02,5.0833
2024-05-01,5.3972
2024-04-30,5.6721
2024-04-29,5.9736
2024-04-26,5.4412
2024-04-25,5.8257
2024-04-24,9.2305
2024-04-23,10.0598
2024-04-22,11.9606
2024-04-19,11.3962
2024-04-18,12.1979
2024-04-17,13.4547
2024-04-16,14.6478
2024-04-15,16.7054
2024-04-12,12.4948
2024-04-11,14.3995
2024-04-10,15.5183
2024-04-09,17.6274
2024-04-08,20.6929
2024-04-05,21.6746
2024-04-04,23.4701
2024-04-03,21.4076
2024-04-02,17.8054
2024-04-01,19.2947
2024-03-28,21.0265
2024-03-27,18.8053
2024-03-26,17.1098
2024-03-25,17.9351
2024-03-22,19.0899
2024-03-21,20.4965
2024-03-20,22.9224
2024-03-19,23.5386
2024-03-18,24.7602
2024-03-15,26.7669
2024-03-14,28.7331
2024-03-13,33.2669
2024-03-12,35.7765
2024-03-11,32.3890
2024-03-08,37.4972
2024-03-07,41.4291
2024-03-06,42.8483
2024-03-05,37.8507
2024-03-04,41.8412
2024-03-01,31.5634
2024-02-29,29.8624
2024-02-28,26.9591
2024-02-27,27.7913
2024-02-26,30.0445
2024-02-23,31.9634
2024-02-22,28.4378
2024-02-21,28.0056
2024-02-20,32.1752
2024-02-16,38.4473
2024-02-15,35.6894
2024-02-14,33.0954
2024-02-13,35.3558
2024-02-12,39.9149
2024-02-09,43.1431
2024-02-08,39.2085
2024-02-07,36.0348
2024-02-06,37.5602
2024-02-05,39.3213
2024-02-02,42.0652
2024-02-01,44.0001
2024-01-31,49.5469
2024-01-30,55.7835
2024-01-29,58.4137
2024-01-26,63.2847
2024-01-25,73.3400
