time,HT_TRENDLINE
2024-07-31,175.3330
2024-07-30,174.8661
2024-07-29,174.2791
2024-07-26,173.5845
2024-07-25,172.7798
2024-07-24,172.0450
2024-07-23,171.4922
2024-07-22,170.7701
2024-07-19,170.0659
2024-07-18,169.4593
2024-07-17,168.8217
2024-07-16,168.0705
2024-07-15,167.4422
2024-07-12,167.0668
2024-07-11,166.8067
2024-07-10,166.6253
2024-07-09,166.3835
2024-07-08,166.1254
2024-07-05,165.8005
2024-07-03,165.4283
2024-07-02,165.0158
2024-07-01,164.5939
2024-06-28,164.2341
2024-06-27,163.9093
2024-06-26,163.6017
2024-06-25,163.1500
2024-06-24,162.8195
2024-06-21,162.5975
2024-06-20,162.5776
2024-06-18,162.6577
2024-06-17,162.7969
2024-06-14,162.8755
2024-06-13,162.8207
2024-06-12,162.7210
2024-06-11,162.5800
2024-06-10,162.4449
2024-06-07,162.2948
2024-06-06,162.1791
2024-06-05,162.0783
2024-06-04,161.9520
2024-06-03,161.8515
2024-05-31,161.7719
2024-05-30,161.7088
2024-05-29,161.7190
2024-05-28,161.8016
2024-05-24,162.0673
2024-05-23,162.6143
2024-05-22,163.1992
2024-05-21,163.8866
2024-05-20,164.5816
2024-05-17,165.3387
2024-05-16,166.3187
2024-05-15,167.4351
2024-05-14,168.5929
2024-05-13,169.6600
2024-05-10,170.6356
2024-05-09,171.4455
2024-05-08,172.0342
2024-05-07,172.5024
2024-05-06,172.9094
2024-05-03,173.3652
2024-05-02,173.9089
2024-05-01,174.6404
2024-04-30,175.4532
2024-04-29,176.3703
2024-04-26,177.2661
2024-04-25,178.1072
2024-04-24,178.7850
2024-04-23,179.1080
2024-04-22,179.4160
2024-04-19,179.7115
2024-04-18,180.1090
2024-04-17,180.6102
2024-04-16,181.1978
2024-04-15,181.8559
2024-04-12,182.3495
2024-04-11,182.8239
2024-04-10,183.0818
2024-04-09,183.2414
2024-04-08,183.3654
2024-04-05,183.4995
2024-04-04,183.6176
2024-04-03,183.6867
2024-04-02,183.6370
2024-04-01,183.5137
2024-03-28,183.3437
2024-03-27,183.2017
2024-03-26,183.1044
2024-03-25,182.8829
2024-03-22,182.6326
2024-03-21,182.3270
2024-03-20,181.9578
2024-03-19,181.5936
2024-03-18,181.1403
2024-03-15,180.8297
2024-03-14,180.5196
2024-03-13,180.0879
2024-03-12,179.5130
2024-03-11,178.9123
2024-03-08,178.3650
2024-03-07,177.7341
2024-03-06,177.0832
2024-03-05,176.4726
2024-03-04,176.1070
2024-03-01,175.8744
2024-02-29,175.8169
2024-02-28,175.8358
2024-02-27,175.6986
2024-02-26,175.2965
2024-02-23,174.4564
2024-02-22,173.3942
2024-02-21,172.2744
2024-02-20,171.1331
2024-02-16,169.6212
2024-02-15,168.0721
2024-02-14,166.7256
2024-02-13,165.6312
2024-02-12,164.8134
2024-02-09,164.0509
2024-02-08,163.4360
2024-02-07,163.0142
2024-02-06,162.6610
2024-02-05,162.4771
2024-02-02,162.1742
2024-02-01,161.6764
2024-01-31,160.8800
2024-01-30,159.9551
2024-01-29,158.7824
2024-01-26,157.5176
2024-01-25,156.3915
2024-01-24,155.4255
2024-01-23,154.8183
2024-01-22,154.2322
2024-01-19,153.8181
2024-01-18,153.5915
2024-01-17,153.4651
2024-01-16,153.3262
2024-01-12,153.1062
2024-01-11,152.9027
2024-01-10,152.6622
2024-01-09,152.2988
2024-01-08,151.8453
2024-01-05,151.2696
2024-01-04,150.6617
2024-01-03,149.9024
2024-01-02,149.1167
2023-12-29,148.4376
2023-12-28,147.7458
2023-12-27,147.0261
2023-12-26,146.3690
2023-12-22,145.6598
2023-12-21,145.0730
2023-12-20,144.6862
2023-12-19,144.1958
2023-12-18,143.7134
2023-12-15,143.2686
2023-12-14,142.6985
2023-12-13,141.9672
2023-12-12,141.4828
2023-12-11,141.1356
2023-12-08,140.8028
2023-12-07,140.5833
2023-12-06,140.2011
2023-12-05,139.5549
2023-12-04,138.8815
2023-12-01,138.2108
2023-11-30,137.5882
2023-11-29,137.1505
2023-11-28,136.8459
2023-11-27,136.6508
2023-11-24,136.5326
2023-11-22,136.4553
2023-11-21,136.3649
2023-11-20,136.1469
2023-11-17,135.8282
2023-11-16,135.4222
2023-11-15,134.9966
2023-11-14,134.5737
2023-11-13,134.1586
2023-11-10,133.7153
2023-11-09,133.2841
2023-11-08,132.8269
2023-11-07,132.4028
2023-11-06,132.0448
2023-11-03,131.7337
2023-11-02,131.5005
2023-11-01,131.3050
2023-10-31,131.1729
2023-10-30,131.0690
2023-10-27,131.0113
2023-10-26,131.0066
2023-10-25,131.0963
2023-10-24,131.4037
2023-10-23,131.8273
2023-10-20,132.3119
2023-10-19,132.8621
2023-10-18,133.2834
2023-10-17,133.6962
2023-10-16,134.0841
2023-10-13,134.4674
2023-10-12,134.8858
2023-10-11,135.2238
2023-10-10,135.5109
2023-10-09,135.7731
2023-10-06,135.9705
2023-10-05,136.1596
2023-10-04,136.3589
2023-10-03,136.5664
2023-10-02,136.7924
2023-09-29,136.9935
2023-09-28,137.1470
2023-09-27,137.1910
2023-09-26,137.1341
2023-09-25,137.0509
2023-09-22,136.8854
2023-09-21,136.7390
2023-09-20,136.5194
2023-09-19,136.3043
2023-09-18,136.1615
2023-09-15,135.9417
2023-09-14,135.7177
2023-09-13,135.4984
2023-09-12,135.2969
2023-09-11,135.0938
2023-09-08,134.8480
2023-09-07,134.6326
2023-09-06,134.3397
2023-09-05,133.9930
2023-09-01,133.5581
2023-08-31,132.9601
2023-08-30,132.2842
2023-08-29,131.4969
2023-08-28,130.7702
2023-08-25,130.2249
2023-08-24,129.7747
2023-08-23,129.4907
2023-08-22,129.3500
2023-08-21,129.2070
2023-08-18,129.1277
2023-08-17,128.9703
2023-08-16,128.8761
2023-08-15,128.7781
2023-08-14,128.6832
2023-08-11,128.6020
2023-08-10,128.5241
2023-08-09,128.3655
2023-08-08,128.1139
2023-08-07,127.8085
2023-08-04,127.4817
2023-08-03,127.1354
2023-08-02,126.7258
2023-08-01,126.3293
2023-07-31,125.8683
2023-07-28,125.4024
2023-07-27,124.9300
2023-07-26,124.4394
2023-07-25,124.0039
2023-07-24,123.6341
2023-07-21,123.4893
2023-07-20,123.5216
2023-07-19,123.6518
2023-07-18,123.7433
2023-07-17,123.7909
2023-07-14,123.7029
2023-07-13,123.4611
2023-07-12,123.0989
2023-07-11,122.7061
2023-07-10,122.2211
2023-07-07,121.7834
2023-07-06,121.2772
2023-07-05,120.8789
2023-07-03,120.5796
2023-06-30,120.4751
2023-06-29,120.4905
2023-06-28,120.3979
2023-06-27,120.3337
2023-06-26,120.2755
2023-06-23,120.2530
2023-06-22,120.3692
2023-06-21,120.3377
2023-06-20,120.2266
2023-06-16,119.8850
2023-06-15,119.4413
2023-06-14,118.8949
2023-06-13,118.3888
2023-06-12,117.9472
2023-06-09,117.4751
2023-06-08,117.0878
2023-06-07,116.7851
2023-06-06,116.4574
2023-06-05,116.1101
2023-06-02,115.7304
2023-06-01,115.3353
2023-05-31,115.0492
2023-05-30,114.8383
2023-05-26,114.6665
2023-05-25,114.5374
2023-05-24,114.4431
2023-05-23,114.3405
2023-05-22,114.2404
2023-05-19,114.2325
2023-05-18,114.3276
2023-05-17,114.5265
2023-05-16,114.7789
2023-05-15,115.0934
2023-05-12,115.3631
2023-05-11,115.5714
2023-05-10,115.8588
2023-05-09,116.1071
2023-05-08,116.3216
2023-05-05,116.4988
2023-05-04,116.6937
2023-05-03,116.9036
2023-05-02,117.0728
2023-05-01,117.1769
2023-04-28,117.2398
2023-04-27,117.2319
2023-04-26,117.1493
2023-04-25,117.0636
2023-04-24,116.9731
2023-04-21,116.9036
2023-04-20,116.7797
2023-04-19,116.6399
2023-04-18,116.5683
2023-04-17,116.4998
2023-04-14,116.4622
2023-04-13,116.4617
2023-04-12,116.4834
2023-04-11,116.4855
2023-04-10,116.3882
2023-04-06,116.2549
2023-04-05,116.0979
2023-04-04,115.9330
2023-04-03,115.8209
2023-03-31,115.7223
2023-03-30,115.6767
2023-03-29,115.6644
2023-03-28,115.7462
2023-03-27,115.9139
2023-03-24,116.1983
2023-03-23,116.6280
2023-03-22,117.0329
2023-03-21,117.3702
2023-03-20,117.6568
2023-03-17,117.9009
2023-03-16,118.2565
2023-03-15,118.7029
2023-03-14,119.1237
2023-03-13,119.6052
2023-03-10,120.0134
2023-03-09,120.3818
2023-03-08,120.7256
2023-03-07,121.0264
2023-03-06,121.2586
2023-03-03,121.4611
2023-03-02,121.6875
2023-03-01,121.9798
2023-02-28,122.3711
2023-02-27,122.7386
2023-02-24,123.0656
2023-02-23,123.3847
2023-02-22,123.7076
2023-02-21,124.0730
2023-02-17,124.5420
2023-02-16,124.9220
2023-02-15,125.2834
2023-02-14,125.4909
2023-02-13,125.6793
2023-02-10,125.8547
2023-02-09,126.0347
2023-02-08,126.2250
2023-02-07,126.3671
2023-02-06,126.5177
2023-02-03,126.6817
2023-02-02,126.9121
2023-02-01,127.1830
2023-01-31,127.4515
2023-01-30,127.7149
2023-01-27,127.9615
2023-01-26,128.1908
2023-01-25,128.3140
2023-01-24,128.3045
2023-01-23,128.2812
2023-01-20,128.2656
2023-01-19,128.2565
2023-01-18,128.3338
2023-01-17,128.4832
2023-01-13,128.6816
2023-01-12,128.8726
2023-01-11,129.0667
2023-01-10,129.2853
2023-01-09,129.5061
2023-01-06,129.8053
2023-01-05,130.1060
2023-01-04,130.4670
2023-01-03,130.7454
2022-12-30,131.0515
2022-12-29,131.2782
2022-12-28,131.3790
2022-12-27,131.3416
2022-12-23,131.1574
2022-12-22,130.8361
2022-12-21,130.5667
2022-12-20,130.3854
2022-12-19,130.2971
2022-12-16,130.4588
2022-12-15,130.5433
2022-12-14,130.5329
2022-12-13,130.2582
2022-12-12,129.9298
2022-12-09,129.7490
2022-12-08,129.5829
2022-12-07,129.5284
2022-12-06,129.4629
2022-12-05,129.2369
2022-12-02,128.9237
2022-12-01,128.5005
2022-11-30,128.0683
2022-11-29,127.4899
2022-11-28,126.8089
2022-11-25,125.8154
2022-11-23,124.6269
2022-11-22,123.1480
2022-11-21,121.5155
2022-11-18,120.2077
2022-11-17,119.1227
2022-11-16,118.0681
2022-11-15,117.4023
2022-11-14,116.9188
2022-11-11,116.3966
2022-11-10,115.8555
2022-11-09,115.2817
2022-11-08,114.6719
2022-11-07,114.1925
2022-11-04,113.6981
2022-11-03,113.2423
2022-11-02,112.6831
2022-11-01,111.9834
2022-10-31,111.1828
2022-10-28,110.5697
2022-10-27,110.0777
2022-10-26,109.7946
2022-10-25,109.6813
2022-10-24,109.6480
2022-10-21,109.6580
2022-10-20,109.7410
2022-10-19,109.9109
2022-10-18,109.9992
2022-10-17,110.0427
2022-10-14,110.1407
2022-10-13,110.2989
2022-10-12,110.6174
2022-10-11,110.9830
2022-10-10,111.3324
2022-10-07,111.6512
2022-10-06,111.8094
2022-10-05,111.9166
2022-10-04,111.9966
2022-10-03,112.1735
2022-09-30,112.4735
2022-09-29,112.8857
2022-09-28,113.3097
2022-09-27,113.7939
2022-09-26,114.3751
2022-09-23,114.8413
2022-09-22,115.2447
2022-09-21,115.5820
2022-09-20,115.8437
2022-09-19,116.1619
2022-09-16,116.5769
2022-09-15,116.9426
2022-09-14,117.2433
2022-09-13,117.5484
2022-09-12,117.7597
2022-09-09,117.8778
2022-09-08,117.9707
2022-09-07,118.0352
2022-09-06,118.1327
2022-09-02,118.2026
2022-09-01,118.2484
2022-08-31,118.2240
2022-08-30,118.1307
2022-08-29,117.9304
2022-08-26,117.7410
2022-08-25,117.5153
2022-08-24,117.3708
2022-08-23,117.1698
2022-08-22,116.9520
2022-08-19,116.6287
2022-08-18,116.2022
2022-08-17,115.7662
2022-08-16,115.5176
2022-08-15,115.4649
2022-08-12,115.6063
2022-08-11,115.8505
2022-08-10,116.1641
2022-08-09,116.5497
2022-08-08,117.0312
2022-08-05,117.3436
2022-08-04,117.6186
2022-08-03,117.8529
2022-08-02,118.0696
2022-08-01,118.2631
2022-07-29,118.5332
2022-07-28,118.7620
2022-07-27,119.0885
2022-07-26,119.6675
2022-07-25,120.2581
2022-07-22,120.9778
2022-07-21,121.7050
2022-07-20,122.3771
2022-07-19,122.8484
2022-07-18,123.0364
2022-07-15,122.9255
2022-07-14,122.7418
2022-07-13,122.5428
2022-07-12,122.3964
2022-07-11,122.1913
2022-07-08,121.9504
2022-07-07,121.7829
2022-07-06,121.7269
2022-07-05,121.8116
2022-07-01,121.9415
2022-06-30,122.0192
2022-06-29,122.0489
2022-06-28,121.9500
2022-06-27,121.8098
2022-06-24,121.6633
2022-06-23,121.5615
2022-06-22,121.5127
2022-06-21,121.4899
2022-06-17,121.4962
2022-06-16,121.4834
2022-06-15,121.3320
2022-06-14,121.1252
2022-06-13,120.9625
2022-06-10,120.6184
2022-06-09,120.2881
2022-06-08,119.9287
2022-06-07,119.4302
2022-06-06,118.8382
2022-06-03,118.2595
2022-06-02,117.8589
2022-06-01,117.6055
2022-05-31,117.3914
2022-05-27,117.1678
2022-05-26,116.9878
2022-05-25,116.8828
2022-05-24,116.8004
2022-05-23,116.8359
2022-05-20,117.0012
2022-05-19,117.2161
2022-05-18,117.3980
2022-05-17,117.4937
2022-05-16,117.4481
2022-05-13,117.3343
2022-05-12,116.9424
2022-05-11,116.4718
2022-05-10,115.9671
2022-05-09,115.5543
2022-05-06,115.0427
2022-05-05,114.6774
2022-05-04,114.3813
2022-05-03,114.2031
2022-05-02,114.1361
2022-04-29,114.0655
2022-04-28,113.9252
2022-04-27,113.6821
2022-04-26,113.3737
2022-04-25,113.0003
2022-04-22,112.6113
2022-04-21,112.2506
2022-04-20,111.9227
2022-04-19,111.6958
2022-04-18,111.5956
2022-04-14,111.5230
2022-04-13,111.4752
2022-04-12,111.4699
2022-04-11,111.5015
2022-04-08,111.5244
2022-04-07,111.5018
2022-04-06,111.4315
2022-04-05,111.3108
2022-04-04,111.1976
2022-04-01,110.9828
2022-03-31,110.6992
2022-03-30,110.3128
2022-03-29,109.8147
2022-03-28,109.4147
2022-03-25,109.0965
2022-03-24,108.8548
2022-03-23,108.7295
2022-03-22,108.7115
2022-03-21,108.8183
2022-03-18,109.0151
2022-03-17,109.3042
2022-03-16,109.5956
2022-03-15,109.9583
2022-03-14,110.3510
2022-03-11,110.7634
2022-03-10,111.1361
2022-03-09,111.4584
2022-03-08,111.7046
2022-03-07,111.9016
2022-03-04,112.1589
2022-03-03,112.4138
2022-03-02,112.7286
2022-03-01,113.0646
2022-02-28,113.4083
2022-02-25,113.6819
2022-02-24,113.8603
2022-02-23,114.0955
2022-02-22,114.3804
2022-02-18,114.6478
2022-02-17,114.8875
2022-02-16,115.0918
2022-02-15,115.2716
2022-02-14,115.4188
2022-02-11,115.4395
2022-02-10,115.2756
2022-02-09,114.9981
2022-02-08,114.6091
2022-02-07,114.2710
2022-02-04,113.9829
2022-02-03,113.7770
2022-02-02,113.6247
2022-02-01,113.3018
2022-01-31,113.0164
2022-01-28,112.7219
2022-01-27,112.3397
2022-01-26,111.8348
2022-01-25,111.1615
2022-01-24,110.4577
2022-01-21,109.9752
2022-01-20,109.5610
2022-01-19,109.2425
2022-01-18,108.9203
2022-01-14,108.6168
2022-01-13,108.3920
2022-01-12,108.1586
2022-01-11,108.0419
2022-01-10,107.9042
2022-01-07,107.5620
2022-01-06,107.1118
2022-01-05,106.5266
2022-01-04,105.9348
2022-01-03,105.4698
2021-12-31,105.0640
2021-12-30,104.7645
2021-12-29,104.4977
2021-12-28,104.2461
2021-12-27,103.9844
2021-12-23,103.6934
2021-12-22,103.3740
2021-12-21,103.0607
2021-12-20,102.7869
2021-12-17,102.5555
2021-12-16,102.3272
2021-12-15,102.1323
2021-12-14,101.9654
2021-12-13,101.8178
2021-12-10,101.6908
2021-12-09,101.5604
2021-12-08,101.4767
2021-12-07,101.4338
2021-12-06,101.5005
2021-12-03,101.5793
2021-12-02,101.6522
2021-12-01,101.7467
2021-11-30,101.8086
2021-11-29,101.8668
2021-11-26,101.9538
2021-11-24,102.1520
2021-11-23,102.4637
2021-11-22,102.9371
2021-11-19,103.6689
