time,ADOSC
2024-01-12,1943021.8484
2024-01-11,857545.6943
2024-01-10,12738.3321
2024-01-09,-563677.3912
2024-01-08,-846760.8545
2024-01-05,-1147497.6717
2024-01-04,-690759.1876
2024-01-03,-268537.3908
2024-01-02,393923.3505
2023-12-29,457162.9821
2023-12-28,240721.9086
2023-12-27,-136052.6976
2023-12-26,-667847.9952
2023-12-22,-1046619.4580
2023-12-21,-1210547.5220
2023-12-20,-957908.3791
2023-12-19,119543.1310
2023-12-18,790385.2150
2023-12-15,1416132.2061
2023-12-14,2740051.8366
2023-12-13,2369982.6949
2023-12-12,2532165.8420
2023-12-11,2262126.8448
2023-12-08,1584483.6212
2023-12-07,1576154.8809
2023-12-06,2553421.0053
2023-12-05,3383701.3059
2023-12-04,3812269.9660
2023-12-01,3877848.5640
2023-11-30,3002144.4910
2023-11-29,2374609.2576
2023-11-28,2745080.0964
2023-11-27,2646875.9058
2023-11-24,2754343.4957
2023-11-22,2852617.3943
2023-11-21,3067016.3027
2023-11-20,3335556.4931
2023-11-17,3215516.9419
2023-11-16,3366636.7693
2023-11-15,3056659.3617
2023-11-14,2661550.5788
2023-11-13,2344183.1182
2023-11-10,2160626.1052
2023-11-09,1816253.5931
2023-11-08,1752096.2152
2023-11-07,1977537.6758
2023-11-06,1592971.7734
2023-11-03,987037.0997
2023-11-02,569843.7293
2023-11-01,-195549.6609
2023-10-31,-579313.7161
2023-10-30,-1320995.8295
2023-10-27,-905367.0171
2023-10-26,-1149790.5734
2023-10-25,-2166247.8312
2023-10-24,-2117566.6394
2023-10-23,-2342400.1903
2023-10-20,-1669362.7083
2023-10-19,-669166.5709
2023-10-18,-62390.9392
2023-10-17,-259066.5805
2023-10-16,-667029.5415
2023-10-13,-343092.0472
2023-10-12,377842.4225
2023-10-11,645888.0040
2023-10-10,295393.8343
2023-10-09,189728.7779
2023-10-06,-477290.7990
2023-10-05,-1145221.5882
2023-10-04,-1894412.7909
2023-10-03,-2375413.1038
2023-10-02,-2418471.2738
2023-09-29,-2707113.9799
2023-09-28,-2769554.2973
2023-09-27,-3293070.3078
2023-09-26,-3366404.7587
2023-09-25,-2671880.1787
2023-09-22,-2254770.3782
2023-09-21,-1696190.7302
2023-09-20,-1095302.5098
2023-09-19,-1146403.2082
2023-09-18,-1394420.9558
2023-09-15,-811039.6518
2023-09-14,-318638.2856
2023-09-13,-425474.9897
2023-09-12,-277541.0594
2023-09-11,162244.8383
2023-09-08,275083.4464
2023-09-07,754511.6228
2023-09-06,1168627.3536
2023-09-05,1033164.0237
2023-09-01,1121023.1766
2023-08-31,931173.6305
2023-08-30,1031889.8126
2023-08-29,549667.9176
2023-08-28,164532.8163
2023-08-25,-177456.7164
2023-08-24,-726528.1689
2023-08-23,-759589.1557
2023-08-22,-1116056.3831
2023-08-21,-983482.8533
2023-08-18,-1424329.9726
2023-08-17,-1398499.1691
2023-08-16,-549479.0204
2023-08-15,89201.6882
2023-08-14,433043.5495
2023-08-11,1225766.9504
2023-08-10,1531099.6796
2023-08-09,2250509.4744
2023-08-08,2783430.5661
2023-08-07,2482636.0105
2023-08-04,2644049.2784
2023-08-03,3211998.5982
2023-08-02,3002550.4962
2023-08-01,2496896.3454
2023-07-31,2490047.9400
2023-07-28,2206590.9828
2023-07-27,1798656.0257
2023-07-26,1019778.8187
2023-07-25,262843.7514
2023-07-24,-325424.6680
2023-07-21,-471054.9035
2023-07-20,-555275.8269
2023-07-19,-373965.8739
2023-07-18,-96611.2000
2023-07-17,-404905.0815
2023-07-14,-615718.8285
2023-07-13,-484996.4223
2023-07-12,-240115.0842
2023-07-11,-73232.2838
2023-07-10,-596421.2924
2023-07-07,-823394.4693
2023-07-06,-635571.1694
2023-07-05,-789368.5275
2023-07-03,-1452196.4706
2023-06-30,-1751782.5555
2023-06-29,-2073112.0835
2023-06-28,-3044128.1838
2023-06-27,-3695480.2503
2023-06-26,-4211895.3691
2023-06-23,-4310961.7958
2023-06-22,-2757308.4527
2023-06-21,-1656052.9857
2023-06-20,-405433.4326
2023-06-16,986431.3146
2023-06-15,2365766.1902
2023-06-14,2576433.3706
2023-06-13,3214057.9808
2023-06-12,3099497.1373
2023-06-09,3062892.8125
2023-06-08,3279227.5883
2023-06-07,3500598.5606
2023-06-06,2836319.8081
2023-06-05,2821157.3164
2023-06-02,2963873.5286
2023-06-01,2413523.7666
2023-05-31,1925755.1030
2023-05-30,1650683.7021
2023-05-26,1398466.1210
2023-05-25,1142463.2281
2023-05-24,1262798.9206
2023-05-23,2000217.1194
2023-05-22,2230251.0680
2023-05-19,2495290.9662
2023-05-18,2449054.5931
2023-05-17,1872162.7117
2023-05-16,1086301.6419
2023-05-15,631506.6551
2023-05-12,57920.0414
2023-05-11,-584405.0884
2023-05-10,-458043.3325
2023-05-09,-736299.6051
2023-05-08,-787896.4404
2023-05-05,-1074126.7486
2023-05-04,-1234388.9239
2023-05-03,-969788.4583
2023-05-02,-472852.3755
2023-05-01,-566217.7008
2023-04-28,-441493.0967
2023-04-27,-854897.6934
2023-04-26,-1578943.6596
2023-04-25,-1897560.9242
2023-04-24,-2243160.8555
2023-04-21,-1938208.5365
2023-04-20,-1020532.7585
2023-04-19,108993.5566
2023-04-18,7422.3375
2023-04-17,237905.6363
2023-04-14,320515.6424
2023-04-13,499860.1827
2023-04-12,373784.4746
2023-04-11,1022352.0876
2023-04-10,1298033.3202
2023-04-06,1240624.9858
2023-04-05,1684283.3007
2023-04-04,1600343.7791
2023-04-03,1463447.7533
2023-03-31,1169272.6047
2023-03-30,929033.3563
2023-03-29,1447795.0765
2023-03-28,1348383.0210
2023-03-27,930651.2530
2023-03-24,266702.8532
2023-03-23,-72845.7276
2023-03-22,279351.9905
2023-03-21,455879.2930
2023-03-20,-232373.0232
2023-03-17,-1231102.5358
2023-03-16,-1935454.9335
2023-03-15,-3469091.6235
2023-03-14,-4254455.4917
2023-03-13,-3699890.3167
2023-03-10,-2625931.2462
2023-03-09,-1645520.0540
2023-03-08,-836318.2224
2023-03-07,-566776.0457
2023-03-06,-129137.6291
2023-03-03,-240357.5232
2023-03-02,-463225.4432
2023-03-01,-396834.4025
2023-02-28,340431.4751
2023-02-27,1152262.1439
2023-02-24,1394939.4036
2023-02-23,1235213.2390
2023-02-22,1527335.9740
2023-02-21,2264880.5590
2023-02-17,3187604.1807
2023-02-16,3385924.2141
2023-02-15,3698038.2451
2023-02-14,3526074.5193
2023-02-13,3469829.7399
2023-02-10,2871514.2487
2023-02-09,2615069.5283
2023-02-08,3046926.3684
2023-02-07,2785037.1887
2023-02-06,2043915.7067
2023-02-03,899995.6591
2023-02-02,-227235.8274
2023-02-01,-1240016.6454
2023-01-31,-1861195.9199
2023-01-30,-1991297.5235
2023-01-27,-1955604.4130
2023-01-26,-1315338.1339
2023-01-25,-624889.4662
2023-01-24,-1455090.2725
2023-01-23,-1434440.0887
2023-01-20,-1134799.8872
2023-01-19,-735992.8205
2023-01-18,121086.8745
2023-01-17,1278284.2881
2023-01-13,1616094.2717
2023-01-12,1363898.9757
2023-01-11,1295074.0372
2023-01-10,996793.1121
2023-01-09,1011446.4388
2023-01-06,1493095.7683
2023-01-05,1263041.5149
2023-01-04,1284712.5041
2023-01-03,1089521.6403
2022-12-30,714625.4838
2022-12-29,418170.6376
2022-12-28,611175.5134
2022-12-27,685483.8384
2022-12-23,74644.7738
2022-12-22,-598478.3426
2022-12-21,-1291125.3385
2022-12-20,-1858580.9930
2022-12-19,-2585282.9186
2022-12-16,-2332614.1842
2022-12-15,-1562725.4840
2022-12-14,-501721.3309
2022-12-13,33117.7462
2022-12-12,793874.6734
2022-12-09,583743.1475
2022-12-08,1253858.3336
2022-12-07,1595402.1567
2022-12-06,1647560.1513
2022-12-05,1648250.1226
2022-12-02,1825922.8847
2022-12-01,1618293.7012
2022-11-30,1311325.8533
2022-11-29,1056557.1114
2022-11-28,1583209.4983
2022-11-25,2431881.3809
2022-11-23,2943560.9998
2022-11-22,3201414.6696
2022-11-21,2725627.8001
2022-11-18,3091225.5839
2022-11-17,2752934.5284
2022-11-16,2389626.5616
2022-11-15,2489209.7725
2022-11-14,2478415.5662
2022-11-11,2347062.8185
2022-11-10,1897771.4821
2022-11-09,1506309.1986
