time,OBV
2015-08-21,1095592549.0000
2015-08-14,1116351679.0000
2015-08-07,1098397001.0000
2015-07-31,1119461874.0000
2015-07-24,1103373965.0000
2015-07-17,1142154681.0000
2015-07-10,1124227817.0000
2015-07-02,1105249210.0000
2015-06-26,1118825463.0000
2015-06-19,1140728467.0000
2015-06-12,1140728467.0000
2015-06-05,1159937491.0000
2015-05-29,1174443534.0000
2015-05-22,1187451503.0000
2015-05-15,1199940329.0000
2015-05-08,1185887245.0000
2015-05-01,1168321308.0000
2015-04-24,1145440320.0000
2015-04-17,1108373950.0000
2015-04-10,1126713236.0000
2015-04-02,1112155991.0000
2015-03-27,1094619233.0000
2015-03-20,1119272627.0000
2015-03-13,1092406253.0000
2015-03-06,1119743929.0000
2015-02-27,1141832361.0000
2015-02-20,1165828881.0000
2015-02-13,1151070982.0000
2015-02-06,1132070649.0000
2015-01-30,1108598590.0000
2015-01-23,1143040551.0000
2015-01-16,1175707963.0000
2015-01-09,1200050532.0000
2015-01-02,1225615145.0000
2014-12-26,1242036283.0000
2014-12-19,1228951959.0000
2014-12-12,1192772108.0000
2014-12-05,1217246158.0000
2014-11-28,1195337229.0000
2014-11-21,1177498860.0000
2014-11-14,1200796642.0000
2014-11-07,1179784439.0000
2014-10-31,1201335511.0000
2014-10-24,1172735657.0000
2014-10-17,1245643262.0000
2014-10-10,1271119184.0000
2014-10-03,1287641035.0000
2014-09-26,1302653605.0000
2014-09-19,1319609159.0000
2014-09-12,1298643137.0000
2014-09-05,1285172645.0000
2014-08-29,1295243218.0000
2014-08-22,1283227086.0000
2014-08-15,1271642848.0000
2014-08-08,1260213103.0000
2014-08-01,1275663463.0000
2014-07-25,1296414950.0000
2014-07-18,1275933539.0000
2014-07-11,1240142455.0000
2014-07-03,1255815403.0000
2014-06-27,1236587519.0000
2014-06-20,1218069241.0000
2014-06-13,1243368631.0000
2014-06-06,1262347148.0000
2014-05-30,1247448658.0000
2014-05-23,1264075663.0000
2014-05-16,1278788803.0000
2014-05-09,1299088733.0000
2014-05-02,1313654595.0000
2014-04-25,1291484314.0000
2014-04-17,1314823501.0000
2014-04-11,1346794698.0000
2014-04-04,1314788668.0000
2014-03-28,1284416492.0000
2014-03-21,1247320103.0000
2014-03-14,1215081235.0000
2014-03-07,1240245065.0000
2014-02-28,1219216911.0000
2014-02-21,1197529150.0000
2014-02-14,1218212962.0000
2014-02-07,1195919984.0000
2014-01-31,1169525223.0000
2014-01-24,1196260876.0000
2014-01-17,1236779671.0000
2014-01-10,1207873149.0000
2014-01-03,1183870067.0000
2013-12-27,1167920660.0000
2013-12-20,1154949425.0000
2013-12-13,1121198039.0000
2013-12-06,1144074893.0000
2013-11-29,1170032532.0000
2013-11-22,1191355137.0000
2013-11-15,1218171856.0000
2013-11-08,1191307649.0000
2013-11-01,1164493127.0000
2013-10-25,1137450263.0000
2013-10-18,1106215137.0000
2013-10-11,1153978738.0000
2013-10-04,1132159494.0000
2013-09-27,1149263579.0000
2013-09-20,1165036943.0000
2013-09-13,1188445479.0000
2013-09-06,1169413616.0000
2013-08-30,1157012032.0000
2013-08-23,1172756632.0000
2013-08-16,1157521958.0000
2013-08-09,1174865159.0000
2013-08-02,1195919359.0000
2013-07-26,1211963534.0000
2013-07-19,1196567358.0000
2013-07-12,1163430708.0000
2013-07-05,1185099539.0000
2013-06-28,1172152048.0000
2013-06-21,1198398906.0000
2013-06-14,1222219879.0000
2013-06-07,1237471080.0000
2013-05-31,1256056929.0000
2013-05-24,1238484548.0000
2013-05-17,1259675564.0000
2013-05-10,1237095250.0000
2013-05-03,1217534319.0000
2013-04-26,1189491898.0000
2013-04-19,1160228377.0000
2013-04-12,1197566810.0000
2013-04-05,1181590522.0000
2013-03-28,1198585510.0000
2013-03-22,1185493671.0000
2013-03-15,1204411103.0000
2013-03-08,1179900187.0000
2013-03-01,1160359968.0000
2013-02-22,1140047697.0000
2013-02-15,1125670952.0000
2013-02-08,1140836171.0000
2013-02-01,1158011384.0000
2013-01-25,1141378626.0000
2013-01-18,1112604318.0000
2013-01-11,1091947494.0000
2013-01-04,1074594670.0000
2012-12-28,1057917352.0000
2012-12-21,1070377198.0000
2012-12-14,1044647064.0000
2012-12-07,1064808190.0000
2012-11-30,1045090779.0000
