timestamp,open,high,low,close
2008-11-28,1.27260,1.31160,1.23890,1.26930
2008-10-31,1.41140,1.41740,1.23290,1.27310
2008-09-30,1.46860,1.48670,1.38820,1.41150
2008-08-29,1.55980,1.56300,1.45700,1.46710
2008-07-31,1.57540,1.60350,1.55190,1.55970
2008-06-30,1.55610,1.58420,1.53040,1.57540
2008-05-30,1.56190,1.58170,1.52890,1.55540
2008-04-30,1.57610,1.60170,1.55110,1.56180
2008-03-31,1.51940,1.59030,1.51460,1.57620
2008-02-29,1.48600,1.52380,1.44400,1.51890
2008-01-31,1.45870,1.49180,1.43660,1.48580
2007-12-31,1.46390,1.47700,1.43090,1.45840
2007-11-30,1.44770,1.49660,1.44030,1.46320
2007-10-31,1.42680,1.45030,1.40140,1.44780
2007-09-28,1.36290,1.42780,1.35510,1.42660
2007-08-31,1.36820,1.38380,1.33700,1.36280
2007-07-31,1.35410,1.38510,1.35280,1.36830
2007-06-29,1.34520,1.35510,1.32640,1.35410
2007-05-31,1.36470,1.36730,1.34080,1.34530
2007-04-30,1.33730,1.36790,1.33190,1.36460
2007-03-30,1.32260,1.34100,1.30720,1.33520
2007-02-28,1.30320,1.32590,1.29120,1.32250
2007-01-31,1.31970,1.32960,1.28670,1.30330
2006-12-29,1.32410,1.33670,1.30520,1.31970
2006-11-30,1.27610,1.32740,1.26820,1.32410
2006-10-31,1.26800,1.27820,1.24830,1.27620
