time,FastD,FastK
2024-07-17,89.9464,95.6714
2024-07-16,86.8235,93.4979
2024-07-15,82.1299,80.6699
2024-07-12,83.1854,86.3028
2024-07-11,72.5931,79.4171
2024-07-10,73.3760,83.8362
2024-07-09,69.9943,54.5259
2024-07-08,75.1524,81.7658
2024-07-05,80.3588,73.6913
2024-07-03,81.6353,70.0000
2024-07-02,68.8197,97.3852
2024-07-01,38.1799,77.5207
2024-06-28,18.3853,31.5532
2024-06-27,21.8228,5.4659
2024-06-26,42.8416,18.1369
2024-06-25,59.3488,41.8655
2024-06-24,77.0249,68.5225
2024-06-21,75.3036,67.6585
2024-06-20,68.5930,94.8936
2024-06-18,51.0960,63.3588
2024-06-17,43.5807,47.5265
2024-06-14,40.6721,42.4028
2024-06-13,47.8953,40.8127
2024-06-12,63.4717,38.8007
2024-06-11,78.3195,64.0724
2024-06-10,88.6661,87.5421
2024-06-07,89.6106,83.3441
2024-06-06,76.7312,95.1120
2024-06-05,52.7483,90.3756
2024-06-04,34.9038,44.7059
2024-06-03,24.1574,23.1635
2024-05-31,19.4633,36.8421
2024-05-30,12.1263,12.4666
2024-05-29,19.7881,9.0811
2024-05-28,30.4552,14.8311
2024-05-24,53.1877,35.4520
2024-05-23,68.1592,41.0824
2024-05-22,85.6245,83.0287
2024-05-21,84.9324,80.3665
2024-05-20,84.8304,93.4783
2024-05-17,85.7897,80.9524
2024-05-16,77.1661,80.0604
2024-05-15,71.3209,96.3563
2024-05-14,60.2402,55.0815
2024-05-13,60.7312,62.5249
2024-05-10,71.6522,63.1144
2024-05-09,79.3997,56.5543
2024-05-08,93.5510,95.2880
2024-05-07,80.1812,86.3568
2024-05-06,63.7170,99.0083
2024-05-03,31.2460,55.1786
2024-05-02,14.4988,36.9643
2024-05-01,5.2794,1.5951
2024-04-30,7.3239,4.9371
2024-04-29,11.3740,9.3060
2024-04-26,38.2016,7.7287
2024-04-25,54.3460,17.0873
2024-04-24,59.0594,89.7887
2024-04-23,35.5594,56.1620
2024-04-22,22.7666,31.2274
2024-04-19,23.5696,19.2886
2024-04-18,30.7387,17.7839
2024-04-17,26.0001,33.6364
2024-04-16,16.8267,40.7960
2024-04-15,9.8247,3.5680
2024-04-12,10.8691,6.1160
2024-04-11,22.1738,19.7901
2024-04-10,29.4940,6.7010
2024-04-09,37.3614,40.0302
2024-04-08,27.3850,41.7508
2024-04-05,38.8728,30.3030
2024-04-04,38.6257,10.1010
2024-04-03,48.1843,76.2142
2024-04-02,41.0627,29.5619
2024-04-01,46.9514,38.7766
2024-03-28,34.0258,54.8495
2024-03-27,15.9976,47.2279
2024-03-26,7.2239,0.0000
2024-03-25,23.0929,0.7648
2024-03-22,39.2636,20.9068
2024-03-21,45.3381,47.6071
2024-03-20,34.6234,49.2769
2024-03-19,19.6521,39.1304
2024-03-18,16.8496,15.4628
2024-03-15,35.0689,4.3632
2024-03-14,61.3253,30.7229
2024-03-13,55.8229,70.1205
2024-03-12,57.4569,83.1325
2024-03-11,57.6919,14.2157
2024-03-08,81.4008,75.0225
2024-03-07,83.3423,83.8376
2024-03-06,86.2529,85.3423
2024-03-05,90.0972,80.8470
2024-03-04,82.1418,92.5696
2024-03-01,76.1103,96.8750
2024-02-29,70.2949,56.9807
2024-02-28,69.1989,74.4751
2024-02-27,67.1516,79.4289
2024-02-26,58.5185,53.6926
2024-02-23,43.7255,68.3333
2024-02-22,26.8271,53.5294
2024-02-21,35.7902,9.3137
2024-02-20,63.9187,17.6383
2024-02-16,70.2244,80.4185
2024-02-15,57.9956,93.6992
2024-02-14,54.5984,36.5554
2024-02-13,71.2193,43.7321
2024-02-12,80.3915,83.5077
2024-02-09,60.1639,86.4181
2024-02-08,36.0812,71.2487
2024-02-07,16.3160,22.8250
2024-02-06,23.9175,14.1700
2024-02-05,33.6231,11.9529
2024-02-02,30.8985,45.6296
2024-02-01,36.4803,43.2869
2024-01-31,42.0623,3.7791
2024-01-30,61.2380,62.3750
2024-01-29,65.9994,60.0328
2024-01-26,76.1650,61.3061
2024-01-25,87.2564,76.6595
2024-01-24,89.2980,90.5295
2024-01-23,92.0967,94.5802
2024-01-22,89.5651,82.7843
2024-01-19,88.1255,98.9256
2024-01-18,87.2347,86.9854
2024-01-17,90.8317,78.4653
2024-01-16,97.4729,96.2532
2024-01-12,93.7961,97.7764
2024-01-11,79.8451,98.3890
2024-01-10,67.1228,85.2229
2024-01-09,41.6795,55.9236
2024-01-08,29.3798,60.2220
2024-01-05,9.4684,8.8929
2024-01-04,15.8231,19.0244
2024-01-03,36.2112,0.4878
2024-01-02,67.8018,27.9570
2023-12-29,90.3562,80.1887
2023-12-28,96.0782,95.2596
2023-12-27,87.2197,95.6204
2023-12-26,64.4837,97.3545
2023-12-22,32.3590,68.6842
2023-12-21,19.2297,27.4123
2023-12-20,24.0426,0.9804
2023-12-19,34.9202,29.2963
2023-12-18,40.4545,41.8511
2023-12-15,45.6041,33.6133
2023-12-14,59.2034,45.8991
2023-12-13,75.9689,57.2998
2023-12-12,80.3914,74.4113
2023-12-11,71.0365,96.1957
2023-12-08,58.1239,70.5674
2023-12-07,61.0416,46.3466
2023-12-06,71.8222,57.4576
2023-12-05,85.7747,79.3205
2023-12-04,92.3830,78.6885
2023-12-01,89.2732,99.3151
2023-11-30,83.3428,99.1453
2023-11-29,78.6519,69.3593
2023-11-28,83.6494,81.5238
2023-11-27,84.4468,85.0727
2023-11-24,83.4257,84.3517
2023-11-22,86.6880,83.9161
2023-11-21,88.7431,82.0093
2023-11-20,93.2528,94.1385
2023-11-17,92.5198,90.0813
2023-11-16,93.4356,95.5385
2023-11-15,85.7540,91.9395
2023-11-14,87.1555,92.8288
2023-11-13,72.6080,72.4936
2023-11-10,70.4132,96.1440
2023-11-09,68.5929,49.1865
2023-11-08,84.2497,65.9091
2023-11-07,92.5159,90.6832
2023-11-06,95.0649,96.1567
2023-11-03,88.8409,90.7076
2023-11-02,91.4638,98.3302
2023-11-01,84.0436,77.4848
2023-10-31,83.3191,98.5765
2023-10-30,81.2565,76.0694
2023-10-27,67.3098,75.3114
2023-10-26,56.2411,92.3888
2023-10-25,29.0237,34.2291
2023-10-24,24.1879,42.1053
2023-10-23,23.3005,10.7368
2023-10-20,38.1506,19.7216
2023-10-19,50.5905,39.4432
2023-10-18,43.5328,55.2870
2023-10-17,26.3348,57.0413
2023-10-16,18.7179,18.2702
2023-10-13,44.0953,3.6929
2023-10-12,63.4970,34.1906
2023-10-11,77.0718,94.4024
2023-10-10,69.0892,61.8978
2023-10-09,73.7212,74.9153
2023-10-06,66.9630,70.4545
2023-10-05,49.6539,75.7937
2023-10-04,30.4361,54.6407
2023-10-03,15.1637,18.5273
2023-10-02,14.7933,18.1402
2023-09-29,15.0216,8.8235
2023-09-28,12.9031,17.4161
2023-09-27,15.4426,18.8251
2023-09-26,19.4841,2.4681
2023-09-25,31.1329,25.0347
2023-09-22,46.4931,30.9495
2023-09-21,55.6123,37.4145
2023-09-20,43.4809,71.1151
2023-09-19,24.4938,58.3072
2023-09-18,22.3959,1.0204
2023-09-15,30.4450,14.1538
2023-09-14,31.3199,52.0134
