time,RSI
2017-10-13,46.0349
2017-10-06,41.5812
2017-09-29,40.7003
2017-09-22,39.5954
2017-09-15,35.1395
2017-09-08,35.0035
2017-09-01,36.0401
2017-08-25,20.3016
2017-08-18,23.0198
2017-08-11,24.8667
2017-08-04,22.5571
2017-07-28,25.5435
2017-07-21,36.4751
2017-07-14,33.8458
2017-07-07,35.1354
2017-06-30,37.2921
2017-06-23,38.8100
2017-06-16,34.8735
2017-06-09,27.3177
2017-06-02,27.4751
2017-05-26,27.6404
2017-05-19,23.5552
2017-05-12,25.4608
2017-05-05,31.4428
2017-04-28,32.9445
2017-04-21,46.6147
2017-04-13,53.1353
2017-04-07,56.4321
2017-03-31,54.1914
2017-03-24,61.6685
2017-03-17,67.9388
2017-03-10,73.6690
2017-03-03,78.3440
2017-02-24,77.8360
2017-02-17,76.7020
2017-02-10,71.5929
2017-02-03,76.2890
2017-01-27,68.6397
2017-01-20,63.4218
2017-01-13,72.3003
2017-01-06,68.8087
2016-12-30,68.7800
2016-12-23,68.5850
2016-12-16,68.4550
2016-12-09,60.6291
2016-12-02,66.5806
2016-11-25,63.0985
2016-11-18,64.4468
2016-11-11,49.4544
2016-11-04,46.5937
2016-10-28,40.8088
2016-10-21,49.0077
2016-10-14,54.5076
2016-10-07,58.0073
2016-09-30,50.3576
2016-09-23,51.3158
2016-09-16,52.1655
2016-09-09,63.3496
2016-09-02,61.6687
2016-08-26,64.6419
2016-08-19,70.9579
2016-08-12,71.8264
2016-08-05,68.1523
2016-07-29,71.3975
2016-07-22,68.7162
2016-07-15,63.3306
2016-07-08,58.6865
2016-07-01,50.3763
2016-06-24,65.5929
2016-06-17,64.1191
2016-06-10,68.0688
2016-06-03,67.4129
2016-05-27,60.6133
2016-05-20,60.7054
2016-05-13,60.8094
2016-05-06,57.5083
2016-04-29,60.3876
2016-04-22,67.1799
2016-04-15,65.7405
2016-04-08,69.5741
2016-04-01,65.5887
2016-03-24,65.1864
2016-03-18,60.2716
2016-03-11,55.1797
2016-03-04,48.5555
2016-02-26,50.9156
2016-02-19,31.2988
2016-02-12,35.7654
2016-02-05,29.5587
2016-01-29,24.3210
2016-01-22,31.7117
2016-01-15,33.6658
2016-01-08,38.4155
2015-12-31,41.3825
2015-12-24,37.5053
2015-12-18,36.4758
2015-12-11,42.3293
2015-12-04,39.5385
2015-11-27,39.4023
2015-11-20,26.9179
2015-11-13,32.3781
2015-11-06,33.6520
2015-10-30,38.1237
2015-10-23,44.5116
2015-10-16,48.1415
2015-10-09,36.0256
2015-10-02,33.0295
2015-09-25,34.0231
2015-09-18,36.0134
2015-09-11,33.3368
2015-09-04,34.5425
2015-08-28,28.2170
