time,MIDPOINT
2024-01-23,157.9401
2024-01-22,157.4152
2024-01-19,156.3418
2024-01-18,154.2046
2024-01-17,154.2046
2024-01-16,154.2046
2024-01-12,153.6561
2024-01-11,152.6867
2024-01-10,152.6867
2024-01-09,152.6867
2024-01-08,152.6867
2024-01-05,152.6867
2024-01-04,153.1076
2024-01-03,153.1076
2024-01-02,153.1076
2023-12-29,153.1076
2023-12-28,153.1076
2023-12-27,153.0461
2023-12-26,153.5615
2023-12-22,153.5615
2023-12-21,153.5615
2023-12-20,153.5615
2023-12-19,153.6419
2023-12-18,153.6419
2023-12-15,153.6419
2023-12-14,153.6419
2023-12-13,152.8570
2023-12-12,151.8403
2023-12-11,150.9136
2023-12-08,150.1428
2023-12-07,149.6889
2023-12-06,149.6653
2023-12-05,149.0884
2023-12-04,148.9513
2023-12-01,148.2089
2023-11-30,147.2679
2023-11-29,146.1047
2023-11-28,144.7193
2023-11-27,143.5892
2023-11-24,143.4048
2023-11-22,142.6813
2023-11-21,142.1956
2023-11-20,142.1956
2023-11-17,141.5856
2023-11-16,141.5249
2023-11-15,140.8818
2023-11-14,139.1029
2023-11-13,138.0903
2023-11-10,137.1506
2023-11-09,136.2869
2023-11-08,136.2869
2023-11-07,133.7434
2023-11-06,133.7434
2023-11-03,132.9158
2023-11-02,132.4997
2023-11-01,131.7470
2023-10-31,131.3916
2023-10-30,130.9802
2023-10-27,130.9802
2023-10-26,130.9802
2023-10-25,129.8019
2023-10-24,130.7324
2023-10-23,130.7324
2023-10-20,131.0971
2023-10-19,131.4945
2023-10-18,131.7049
2023-10-17,131.7049
2023-10-16,131.7049
2023-10-13,131.7049
2023-10-12,132.5652
2023-10-11,132.5652
2023-10-10,132.5371
2023-10-09,132.5699
2023-10-06,134.0847
2023-10-05,134.2858
2023-10-04,134.5055
2023-10-03,135.6510
2023-10-02,135.6510
2023-09-29,135.6510
2023-09-28,136.2495
2023-09-27,136.9929
2023-09-26,137.0256
2023-09-25,137.8906
2023-09-22,137.8906
2023-09-21,137.8906
2023-09-20,137.8906
2023-09-19,137.2127
2023-09-18,137.2127
2023-09-15,137.6335
2023-09-14,137.7784
2023-09-13,137.7784
2023-09-12,137.7784
2023-09-11,137.6475
2023-09-08,137.2173
2023-09-07,136.3757
2023-09-06,136.3103
2023-09-05,135.4126
2023-09-01,135.3237
2023-08-31,134.7814
2023-08-30,134.4307
2023-08-29,134.2297
2023-08-28,134.0286
2023-08-25,133.7154
2023-08-24,132.8738
2023-08-23,132.8083
2023-08-22,132.7335
2023-08-21,133.1916
2023-08-18,133.3164
2023-08-17,133.3164
2023-08-16,133.3164
2023-08-15,133.8915
2023-08-14,133.8024
2023-08-11,133.8024
2023-08-10,133.8024
2023-08-09,133.6360
2023-08-08,132.7579
2023-08-07,132.4159
2023-08-04,131.2512
2023-08-03,130.9739
2023-08-02,130.5903
2023-08-01,129.2500
2023-07-31,129.1945
2023-07-28,128.3395
2023-07-27,127.7295
2023-07-26,126.8513
2023-07-25,126.2505
2023-07-24,125.8854
2023-07-21,125.6081
2023-07-20,124.9981
2023-07-19,123.6578
2023-07-18,123.6023
2023-07-17,123.1771
2023-07-14,123.1771
2023-07-13,123.1771
2023-07-12,123.0292
2023-07-11,123.0292
2023-07-10,122.7427
2023-07-07,121.8599
2023-07-06,121.8599
2023-07-05,121.8599
2023-07-03,122.6549
2023-06-30,123.3574
2023-06-29,123.7825
2023-06-28,123.7825
2023-06-27,123.7825
2023-06-26,123.7825
