time,T3
2017-11-03,94.5432
2017-10-27,93.9178
2017-10-20,93.5284
2017-10-13,93.4712
2017-10-06,93.5393
2017-09-29,93.7381
2017-09-22,94.0663
2017-09-15,94.5288
2017-09-08,95.1169
2017-09-01,95.8021
2017-08-25,96.5611
2017-08-18,97.3514
2017-08-11,98.0825
2017-08-04,98.7688
2017-07-28,99.4127
2017-07-21,100.0200
2017-07-14,100.6732
2017-07-07,101.4870
2017-06-30,102.4713
2017-06-23,103.6528
2017-06-16,105.0470
2017-06-09,106.6302
2017-06-02,108.3179
2017-05-26,109.9973
2017-05-19,111.5725
2017-05-12,112.9319
2017-05-05,113.9610
2017-04-28,114.6274
2017-04-21,114.9549
2017-04-13,114.9470
2017-04-07,114.7005
2017-03-31,114.2251
2017-03-24,113.5121
2017-03-17,112.5553
2017-03-10,111.4296
2017-03-03,110.2163
2017-02-24,109.0015
2017-02-17,107.8587
2017-02-10,106.8194
2017-02-03,105.8828
2017-01-27,105.0056
2017-01-20,104.2042
2017-01-13,103.3882
2017-01-06,102.5529
2016-12-30,101.7714
2016-12-23,101.0568
2016-12-16,100.4624
2016-12-09,100.0343
2016-12-02,99.7951
2016-11-25,99.7112
2016-11-18,99.8395
2016-11-11,100.1479
2016-11-04,100.5877
2016-10-28,100.9917
2016-10-21,101.3035
2016-10-14,101.4835
2016-10-07,101.5803
2016-09-30,101.6023
2016-09-23,101.5189
2016-09-16,101.2480
2016-09-09,100.7829
2016-09-02,100.1474
2016-08-26,99.4184
2016-08-19,98.6157
2016-08-12,97.8088
2016-08-05,97.0781
2016-07-29,96.4579
2016-07-22,95.9371
2016-07-15,95.5399
2016-07-08,95.2021
2016-07-01,94.8229
2016-06-24,94.3235
2016-06-17,93.6590
2016-06-10,92.9278
2016-06-03,92.1279
2016-05-27,91.2744
2016-05-20,90.3304
2016-05-13,89.2186
2016-05-06,87.9421
2016-04-29,86.5124
2016-04-22,84.9496
2016-04-15,83.3661
2016-04-08,81.9035
2016-04-01,80.6523
2016-03-24,79.7286
2016-03-18,79.1576
2016-03-11,78.9839
2016-03-04,79.1598
2016-02-26,79.6225
2016-02-19,80.2944
2016-02-12,81.1244
2016-02-05,81.9106
2016-01-29,82.6499
2016-01-22,83.2528
2016-01-15,83.6971
2016-01-08,84.0981
2015-12-31,84.4967
2015-12-24,84.9550
2015-12-18,85.4917
2015-12-11,86.0767
2015-12-04,86.7167
2015-11-27,87.4562
2015-11-20,88.2351
2015-11-13,88.9912
2015-11-06,89.6328
2015-10-30,90.2539
2015-10-23,90.9093
2015-10-16,91.7041
2015-10-09,92.7253
2015-10-02,93.9636
2015-09-25,95.2859
2015-09-18,96.6312
2015-09-11,97.9601
2015-09-04,99.2186
2015-08-28,100.3050
2015-08-21,101.1546
2015-08-14,101.7076
2015-08-07,102.0963
2015-07-31,102.3234
2015-07-24,102.4177
2015-07-17,102.3839
2015-07-10,102.3687
2015-07-02,102.2496
2015-06-26,101.9366
2015-06-19,101.4176
2015-06-12,100.7201
2015-06-05,99.8232
2015-05-29,98.7933
2015-05-22,97.7288
2015-05-15,96.7212
2015-05-08,95.8500
2015-05-01,95.1595
2015-04-24,94.6724
2015-04-17,94.3213
2015-04-10,93.9963
2015-04-02,93.7058
2015-03-27,93.4362
2015-03-20,93.2250
2015-03-13,93.0767
2015-03-06,92.9266
2015-02-27,92.8740
2015-02-20,93.0098
2015-02-13,93.3654
2015-02-06,93.8639
2015-01-30,94.4436
2015-01-23,95.0846
2015-01-16,95.8516
2015-01-09,96.7479
2015-01-02,97.8266
2014-12-26,99.1180
2014-12-19,100.5980
2014-12-12,102.1841
