time,KAMA
2018-04-27,106.0034
2018-04-20,106.1516
2018-04-13,106.1352
2018-04-06,106.3317
2018-03-29,106.3679
2018-03-23,106.5309
2018-03-16,106.5114
2018-03-09,106.4499
2018-03-02,106.4624
2018-02-23,106.4612
2018-02-16,106.4605
2018-02-09,106.5027
2018-02-02,106.4932
2018-01-26,105.1980
2018-01-19,104.5994
2018-01-12,102.9017
2018-01-05,102.0088
2017-12-29,101.8814
2017-12-22,101.8376
2017-12-15,101.7499
2017-12-08,101.5367
2017-12-01,101.2344
2017-11-24,101.1404
2017-11-17,101.0952
2017-11-10,101.1083
2017-11-03,101.0766
2017-10-27,100.8319
2017-10-20,97.8347
2017-10-13,97.7829
2017-10-06,97.7584
2017-09-29,97.7600
2017-09-22,97.7979
2017-09-15,97.8485
2017-09-08,98.0315
2017-09-01,98.2682
2017-08-25,98.4870
2017-08-18,100.0845
2017-08-11,100.7187
2017-08-04,101.2079
2017-07-28,101.9532
2017-07-21,102.1522
2017-07-14,102.1555
2017-07-07,102.2161
2017-06-30,102.2482
2017-06-23,102.1770
2017-06-16,101.9648
2017-06-09,101.8711
2017-06-02,102.3506
2017-05-26,103.0363
2017-05-19,104.0183
2017-05-12,106.6050
2017-05-05,109.8886
2017-04-28,112.3078
2017-04-21,114.5805
2017-04-13,114.6892
2017-04-07,114.7239
2017-03-31,114.7435
2017-03-24,114.8131
2017-03-17,114.7821
2017-03-10,114.5348
2017-03-03,113.8967
2017-02-24,112.6007
2017-02-17,111.1110
2017-02-10,109.1294
2017-02-03,108.4246
2017-01-27,106.8229
2017-01-20,106.3409
2017-01-13,105.9128
2017-01-06,104.2372
2016-12-30,102.5442
2016-12-23,101.5731
2016-12-16,100.8826
2016-12-09,100.3215
2016-12-02,100.0769
2016-11-25,99.5328
2016-11-18,99.2417
2016-11-11,99.1518
2016-11-04,99.1392
2016-10-28,99.1772
2016-10-21,99.5757
2016-10-14,99.5522
2016-10-07,99.5158
2016-09-30,99.4597
2016-09-23,99.4497
2016-09-16,99.4430
2016-09-09,99.4109
2016-09-02,98.5947
2016-08-26,98.4071
2016-08-19,98.0642
2016-08-12,97.4811
2016-08-05,96.7469
2016-07-29,96.0791
2016-07-22,95.0064
2016-07-15,94.2191
2016-07-08,93.7872
2016-07-01,93.6888
2016-06-24,93.6918
2016-06-17,93.5306
2016-06-10,93.5026
2016-06-03,93.1892
2016-05-27,92.8818
2016-05-20,92.7649
2016-05-13,92.5439
2016-05-06,92.1805
2016-04-29,92.0968
2016-04-22,91.6262
2016-04-15,90.5517
2016-04-08,89.4002
2016-04-01,86.9893
2016-03-24,86.2835
2016-03-18,85.6979
2016-03-11,85.5751
2016-03-04,85.5661
2016-02-26,85.5851
2016-02-19,85.5881
2016-02-12,87.0157
2016-02-05,87.6891
2016-01-29,89.3211
2016-01-22,90.1725
2016-01-15,90.6226
2016-01-08,91.0147
2015-12-31,91.3262
2015-12-24,91.6900
2015-12-18,92.5368
2015-12-11,92.8732
2015-12-04,92.9374
2015-11-27,93.0892
2015-11-20,93.3104
2015-11-13,94.4133
2015-11-06,94.9074
2015-10-30,95.0269
2015-10-23,95.3177
2015-10-16,95.3960
2015-10-09,95.4222
2015-10-02,95.8823
2015-09-25,97.3586
2015-09-18,98.2463
2015-09-11,98.6883
2015-09-04,99.3488
2015-08-28,100.0867
2015-08-21,101.3284
2015-08-14,101.5986
2015-08-07,101.8639
2015-07-31,101.9800
2015-07-24,102.3644
2015-07-17,102.3448
2015-07-10,102.2789
2015-07-02,102.3577
2015-06-26,102.3793
2015-06-19,102.3235
2015-06-12,102.3429
2015-06-05,102.2957
2015-05-29,102.0406
2015-05-22,100.9972
2015-05-15,99.9172
2015-05-08,99.3260
2015-05-01,98.8722
2015-04-24,98.4900
2015-04-17,98.4644
2015-04-10,98.4113
2015-04-02,98.4190
2015-03-27,98.4102
2015-03-20,98.3835
2015-03-13,98.4795
2015-03-06,98.5038
2015-02-27,98.4917
2015-02-20,98.3388
2015-02-13,98.3456
2015-02-06,98.4184
2015-01-30,98.7046
2015-01-23,98.8182
2015-01-16,98.9486
2015-01-09,99.0144
2015-01-02,99.0197
2014-12-26,99.0311
2014-12-19,99.6465
2014-12-12,101.2602
2014-12-05,101.7295
2014-11-28,102.9011
2014-11-21,104.1041
2014-11-14,105.0418
2014-11-07,107.0809
2014-10-31,109.0764
2014-10-24,111.5635
2014-10-17,113.4838
2014-10-10,113.5153
2014-10-03,113.4880
2014-09-26,113.4841
2014-09-19,113.2599
2014-09-12,113.1459
2014-09-05,112.9200
2014-08-29,112.3943
2014-08-22,112.0094
2014-08-15,111.9776
2014-08-08,111.9374
2014-08-01,111.8817
2014-07-25,111.4678
2014-07-18,111.4516
2014-07-11,111.4326
2014-07-03,111.4102
2014-06-27,111.7797
2014-06-20,112.4019
2014-06-13,112.6157
2014-06-06,112.6457
2014-05-30,112.6649
2014-05-23,112.6954
2014-05-16,112.6985
2014-05-09,112.5822
2014-05-02,112.5066
2014-04-25,112.4291
2014-04-17,112.3590
2014-04-11,111.0335
2014-04-04,110.6451
2014-03-28,110.6074
2014-03-21,110.5957
2014-03-14,110.6193
2014-03-07,110.5997
2014-02-28,110.6178
2014-02-21,110.6935
2014-02-14,110.7234
2014-02-07,110.7622
2014-01-31,110.8672
2014-01-24,110.9336
2014-01-17,110.8008
2014-01-10,110.8125
2014-01-03,110.7906
2013-12-27,110.8603
2013-12-20,110.9072
2013-12-13,111.2350
2013-12-06,111.4270
2013-11-29,111.6813
2013-11-22,112.0044
2013-11-15,112.0218
2013-11-08,112.0722
2013-11-01,112.1870
2013-10-25,112.4632
2013-10-18,113.1191
2013-10-11,113.2894
2013-10-04,113.9253
2013-09-27,114.0832
2013-09-20,114.0992
2013-09-13,114.0974
2013-09-06,114.5035
2013-08-30,115.0639
2013-08-23,116.0189
2013-08-16,117.3325
2013-08-09,118.6879
2013-08-02,119.1304
2013-07-26,119.4785
2013-07-19,120.0122
2013-07-12,120.6005
2013-07-05,120.6513
2013-06-28,120.7247
2013-06-21,121.1444
2013-06-14,121.1714
2013-06-07,121.1643
2013-05-31,121.1499
2013-05-24,121.1383
2013-05-17,121.1317
2013-05-10,121.1426
2013-05-03,121.1590
2013-04-26,121.3264
2013-04-19,121.8196
2013-04-12,121.7220
2013-04-05,121.6957
2013-03-28,120.7931
2013-03-22,119.5951
2013-03-15,117.9838
2013-03-08,116.3285
2013-03-01,116.1092
2013-02-22,115.9157
2013-02-15,115.7963
2013-02-08,115.6077
2013-02-01,115.1899
2013-01-25,114.4162
2013-01-18,114.4648
2013-01-11,114.4887
2013-01-04,114.5005
2012-12-28,114.6454
2012-12-21,114.9834
2012-12-14,115.6656
2012-12-07,116.1886
2012-11-30,116.7212
2012-11-23,117.1625
2012-11-16,117.6036
2012-11-09,117.7886
2012-11-02,117.9515
2012-10-26,118.0890
2012-10-19,118.2213
2012-10-12,117.7988
2012-10-05,116.8875
2012-09-28,115.8384
2012-09-21,114.9457
2012-09-14,114.3945
2012-09-07,114.3727
2012-08-31,114.3819
2012-08-24,114.3793
2012-08-17,114.3367
2012-08-10,114.2866
2012-08-03,114.2813
2012-07-27,114.2859
2012-07-20,114.4852
2012-07-13,115.2443
2012-07-06,115.6958
2012-06-29,115.7087
2012-06-22,115.9195
2012-06-15,115.9619
2012-06-08,116.0808
2012-06-01,116.9266
2012-05-25,117.1706
2012-05-18,117.2391
2012-05-11,117.2590
2012-05-04,117.2597
2012-04-27,117.1241
2012-04-20,117.2187
2012-04-13,117.1194
2012-04-05,117.0271
2012-03-30,114.5587
2012-03-23,111.2699
2012-03-16,107.5939
2012-03-09,106.1768
2012-03-02,104.8410
2012-02-24,103.5371
2012-02-17,103.4861
2012-02-10,103.3825
2012-02-03,103.0712
2012-01-27,102.9318
2012-01-20,102.9000
2012-01-13,102.8921
2012-01-06,102.8755
2011-12-30,102.7680
2011-12-23,102.7224
2011-12-16,102.6977
2011-12-09,101.8354
2011-12-02,100.9920
2011-11-25,100.7328
2011-11-18,100.1567
2011-11-11,98.7161
2011-11-04,98.2619
2011-10-28,97.5233
2011-10-21,97.3773
2011-10-14,96.5602
2011-10-07,96.5158
2011-09-30,96.4489
2011-09-23,96.4401
2011-09-16,96.4375
2011-09-09,96.6662
2011-09-02,96.6919
2011-08-26,96.6790
2011-08-19,96.7207
2011-08-12,96.6879
2011-08-05,96.6907
2011-07-29,95.5078
2011-07-22,93.9811
2011-07-15,93.5819
2011-07-08,93.4257
2011-07-01,93.1535
2011-06-24,93.1398
2011-06-17,93.1416
2011-06-10,93.1399
2011-06-03,93.1276
2011-05-27,92.7113
2011-05-20,92.4996
2011-05-13,92.1613
2011-05-06,91.9625
2011-04-29,91.4574
2011-04-21,91.3501
2011-04-15,91.3295
2011-04-08,91.2800
2011-04-01,91.0919
2011-03-25,91.0605
2011-03-18,91.3073
2011-03-11,91.3751
2011-03-04,91.3882
2011-02-25,91.2216
2011-02-18,90.4690
2011-02-11,88.7545
2011-02-04,86.0834
2011-01-28,83.9511
2011-01-21,81.9707
2011-01-14,81.5978
2011-01-07,81.3587
2010-12-31,80.9879
2010-12-23,80.8873
2010-12-17,80.6726
2010-12-10,80.3641
2010-12-03,80.0427
2010-11-26,79.7706
2010-11-19,79.2079
2010-11-12,78.3944
2010-11-05,76.0038
2010-10-29,74.4662
2010-10-22,73.2138
2010-10-15,72.4364
2010-10-08,71.7087
2010-10-01,71.2911
2010-09-24,71.0606
2010-09-17,70.9833
2010-09-10,70.9079
2010-09-03,70.9067
2010-08-27,70.9458
2010-08-20,70.9429
2010-08-13,70.9350
2010-08-06,70.7920
2010-07-30,70.7511
2010-07-23,70.7399
2010-07-16,70.7267
2010-07-09,70.7241
2010-07-02,70.7869
2010-06-25,70.7814
2010-06-18,70.7158
2010-06-11,70.7082
2010-06-04,70.7279
2010-05-28,70.7453
2010-05-21,70.7566
2010-05-14,70.6086
2010-05-07,70.6104
2010-04-30,70.5412
2010-04-23,70.3024
2010-04-16,69.6990
2010-04-09,69.2821
2010-04-01,69.2051
2010-03-26,69.1628
2010-03-19,69.1054
2010-03-12,69.0424
2010-03-05,68.9797
2010-02-26,68.9700
2010-02-19,68.9453
2010-02-12,68.9410
2010-02-05,68.9483
2010-01-29,68.9814
2010-01-22,68.9747
2010-01-15,68.4848
2010-01-08,67.7677
2009-12-31,66.8774
2009-12-24,66.1341
2009-12-18,66.0363
2009-12-11,65.3771
2009-12-04,65.1113
2009-11-27,64.9737
2009-11-20,64.2759
2009-11-13,63.7073
2009-11-06,63.3747
2009-10-30,63.3541
2009-10-23,63.2784
2009-10-16,63.1953
2009-10-09,62.7836
2009-10-02,62.7236
2009-09-25,62.4245
2009-09-18,61.3333
2009-09-11,60.7057
2009-09-04,60.2697
2009-08-28,59.8377
2009-08-21,59.1479
2009-08-14,58.6843
2009-08-07,57.9295
2009-07-31,56.6486
2009-07-24,55.6022
2009-07-17,54.6956
2009-07-10,54.6744
2009-07-02,54.6602
2009-06-26,54.4599
2009-06-19,54.3004
2009-06-12,53.8642
2009-06-05,52.9914
2009-05-29,52.1838
2009-05-22,51.8204
2009-05-15,51.0119
2009-05-08,50.7569
2009-05-01,49.9009
2009-04-24,49.6923
2009-04-17,49.5953
2009-04-09,49.3561
2009-04-03,49.0328
2009-03-27,48.9937
2009-03-20,48.8852
2009-03-13,48.8641
2009-03-06,48.9084
2009-02-27,48.8632
2009-02-20,48.8759
2009-02-13,48.7729
2009-02-06,47.7339
2009-01-30,47.3427
2009-01-23,47.1983
2009-01-16,47.2216
2009-01-09,47.2841
2009-01-02,47.2963
2008-12-26,47.4037
2008-12-19,47.4529
2008-12-12,47.6316
2008-12-05,48.0004
2008-11-28,48.6136
2008-11-21,49.9332
2008-11-14,51.1080
2008-11-07,51.6384
2008-10-31,51.8890
2008-10-24,55.8896
2008-10-17,58.4463
2008-10-10,62.2621
2008-10-03,64.7628
2008-09-26,65.0270
2008-09-19,65.0462
2008-09-12,65.1090
2008-09-05,65.1247
2008-08-29,65.1192
2008-08-22,65.1079
2008-08-15,65.0739
2008-08-08,65.0533
2008-08-01,65.0059
2008-07-25,64.9912
2008-07-18,64.8367
2008-07-11,64.8338
2008-07-03,64.8470
2008-06-27,64.8523
2008-06-20,64.7897
2008-06-13,64.5383
2008-06-06,64.1976
2008-05-30,63.7453
2008-05-23,63.4619
2008-05-16,62.3675
2008-05-09,61.8434
2008-05-02,61.1415
2008-04-25,60.2015
2008-04-18,59.0161
2008-04-11,58.8470
2008-04-04,58.5557
2008-03-28,58.3032
2008-03-20,57.8531
2008-03-14,57.6446
2008-03-07,57.6031
2008-02-29,57.5641
2008-02-22,57.5645
2008-02-15,57.5683
2008-02-08,57.5900
2008-02-01,57.5886
2008-01-25,57.5973
2008-01-18,57.6541
2008-01-11,57.7239
2008-01-04,58.0251
2007-12-28,58.0241
2007-12-21,57.9942
2007-12-14,58.1060
2007-12-07,58.1103
2007-11-30,58.2735
2007-11-23,58.4494
2007-11-16,58.6719
2007-11-09,59.2169
2007-11-02,59.1896
2007-10-26,59.1646
2007-10-19,59.1692
2007-10-12,58.8535
2007-10-05,58.8297
2007-09-28,58.7242
2007-09-21,58.4280
2007-09-14,58.2773
2007-09-07,57.8069
2007-08-31,57.1971
2007-08-24,56.9326
2007-08-17,56.7435
2007-08-10,56.5389
2007-08-03,56.3826
2007-07-27,55.8600
2007-07-20,55.2839
2007-07-13,55.1173
2007-07-06,54.8656
2007-06-29,54.7499
2007-06-22,54.6692
2007-06-15,54.5665
2007-06-08,54.5875
2007-06-01,54.1547
2007-05-25,53.7380
2007-05-18,52.5069
2007-05-11,50.9715
2007-05-04,50.8556
2007-04-27,50.8154
2007-04-20,50.8376
2007-04-13,50.8735
2007-04-05,50.8750
2007-03-30,50.8927
2007-03-23,50.9331
2007-03-16,50.9946
2007-03-09,51.0541
2007-03-02,51.2147
2007-02-23,51.1970
2007-02-16,51.1033
2007-02-09,50.9532
2007-02-02,50.7827
2007-01-26,50.7286
2007-01-19,50.7392
2007-01-12,50.1985
2007-01-05,49.6205
2006-12-29,49.1294
2006-12-22,48.8355
2006-12-15,48.3760
2006-12-08,48.0003
2006-12-01,47.7582
2006-11-24,47.4577
2006-11-17,46.5000
2006-11-10,45.8356
2006-11-03,44.9906
2006-10-27,44.0897
2006-10-20,42.7037
2006-10-13,41.7729
2006-10-06,41.3899
2006-09-29,41.0775
2006-09-22,40.6504
2006-09-15,40.3394
2006-09-08,40.2601
2006-09-01,40.1122
2006-08-25,40.0699
2006-08-18,40.0322
2006-08-11,40.0490
2006-08-04,40.1074
2006-07-28,40.1239
2006-07-21,40.3223
2006-07-14,41.1702
2006-07-07,41.5665
2006-06-30,41.6740
2006-06-23,41.8947
2006-06-16,42.0589
2006-06-09,42.3447
2006-06-02,42.5012
2006-05-26,42.5612
2006-05-19,42.5881
2006-05-12,42.5862
2006-05-05,42.5301
2006-04-28,42.4952
2006-04-21,42.4965
2006-04-13,42.4990
2006-04-07,42.4862
2006-03-31,42.4695
2006-03-24,42.4645
2006-03-17,42.4576
2006-03-10,42.4589
2006-03-03,42.5304
