time,WMA
2017-10-27,99.4688
2017-10-20,97.2903
2017-10-13,96.8736
2017-10-06,96.5004
2017-09-29,96.2688
2017-09-22,96.1488
2017-09-15,96.1459
2017-09-08,96.4006
2017-09-01,96.7770
2017-08-25,97.1983
2017-08-18,98.3286
2017-08-11,99.2657
2017-08-04,100.1055
2017-07-28,101.1131
2017-07-21,101.8485
2017-07-14,101.7796
2017-07-07,101.8602
2017-06-30,101.9340
2017-06-23,102.0330
2017-06-16,102.2206
2017-06-09,102.7838
2017-06-02,103.8643
2017-05-26,105.1943
2017-05-19,106.7959
2017-05-12,108.9059
2017-05-05,111.0742
2017-04-28,112.8009
2017-04-21,114.5939
2017-04-13,115.4265
2017-04-07,115.9636
2017-03-31,116.2859
2017-03-24,116.6558
2017-03-17,116.5825
2017-03-10,116.1012
2017-03-03,115.2287
2017-02-24,113.9934
2017-02-17,112.6471
2017-02-10,111.2285
2017-02-03,110.3008
2017-01-27,108.9822
2017-01-20,108.3766
2017-01-13,108.0058
2017-01-06,107.0914
2016-12-30,106.2571
2016-12-23,105.2603
2016-12-16,104.1448
2016-12-09,102.9230
2016-12-02,102.3046
2016-11-25,101.2927
2016-11-18,100.4974
2016-11-11,99.6025
2016-11-04,99.7878
2016-10-28,100.2025
2016-10-21,101.0353
2016-10-14,101.4897
2016-10-07,101.7089
2016-09-30,101.7995
2016-09-23,102.3536
2016-09-16,102.8409
2016-09-09,103.2193
2016-09-02,102.8798
2016-08-26,102.5750
2016-08-19,102.0193
2016-08-12,101.0570
2016-08-05,99.9213
2016-07-29,99.0396
2016-07-22,97.8336
2016-07-15,96.8069
2016-07-08,96.2178
2016-07-01,95.9740
2016-06-24,96.3618
2016-06-17,95.9584
2016-06-10,95.6595
2016-06-03,95.1123
2016-05-27,94.5495
2016-05-20,94.4821
2016-05-13,94.2743
2016-05-06,93.8634
2016-04-29,93.5992
2016-04-22,92.8469
2016-04-15,91.3836
2016-04-08,89.7794
2016-04-01,87.5723
2016-03-24,85.6759
2016-03-18,83.6374
2016-03-11,82.1191
2016-03-04,81.1355
2016-02-26,80.7891
2016-02-19,80.2317
2016-02-12,81.2542
2016-02-05,81.9251
2016-01-29,83.0871
2016-01-22,84.6223
2016-01-15,85.3324
2016-01-08,85.9326
2015-12-31,86.1892
2015-12-24,86.3239
2015-12-18,86.8495
2015-12-11,87.5390
2015-12-04,87.7081
2015-11-27,88.1160
2015-11-20,88.6184
2015-11-13,90.0352
2015-11-06,90.8432
2015-10-30,91.5397
2015-10-23,91.8737
2015-10-16,91.7093
2015-10-09,91.3466
2015-10-02,91.8622
2015-09-25,92.8409
2015-09-18,93.9491
2015-09-11,95.0042
2015-09-04,96.4191
2015-08-28,97.8905
2015-08-21,100.0224
2015-08-14,100.9475
2015-08-07,101.8312
2015-07-31,102.4250
2015-07-24,103.4835
2015-07-17,102.9938
2015-07-10,103.1077
2015-07-02,103.7461
2015-06-26,104.3402
2015-06-19,104.4429
2015-06-12,104.7290
2015-06-05,104.7292
2015-05-29,104.2912
2015-05-22,103.4356
2015-05-15,102.2465
2015-05-08,101.0091
2015-05-01,99.6021
2015-04-24,98.4696
2015-04-17,98.2476
2015-04-10,97.8904
2015-04-02,97.8033
2015-03-27,97.4724
2015-03-20,96.9247
2015-03-13,97.2930
2015-03-06,97.3404
2015-02-27,96.9509
2015-02-20,96.1731
2015-02-13,95.9207
2015-02-06,96.1359
2015-01-30,96.7765
2015-01-23,97.0115
2015-01-16,97.4764
2015-01-09,97.7328
2015-01-02,97.7342
2014-12-26,97.6961
2014-12-19,98.3499
2014-12-12,99.6279
2014-12-05,100.3571
2014-11-28,101.6088
2014-11-21,103.1874
2014-11-14,104.7561
2014-11-07,106.9004
2014-10-31,109.2057
2014-10-24,112.0446
2014-10-17,114.5817
2014-10-10,115.1021
2014-10-03,115.1995
2014-09-26,115.4448
2014-09-19,115.0491
2014-09-12,114.8520
2014-09-05,114.6134
2014-08-29,114.0330
2014-08-22,113.4838
2014-08-15,113.2630
2014-08-08,113.0287
2014-08-01,112.6979
2014-07-25,111.7430
2014-07-18,111.1135
2014-07-11,110.7994
2014-07-03,110.6143
2014-06-27,111.1951
2014-06-20,111.8554
2014-06-13,112.5529
2014-06-06,112.8806
2014-05-30,113.3850
2014-05-23,113.8501
2014-05-16,114.1161
2014-05-09,113.7933
2014-05-02,113.5094
2014-04-25,113.1293
2014-04-17,112.7554
2014-04-11,111.4530
2014-04-04,110.4990
2014-03-28,109.5273
2014-03-21,108.9887
2014-03-14,109.0055
2014-03-07,108.4566
2014-02-28,108.3302
2014-02-21,108.1448
2014-02-14,107.8535
2014-02-07,108.2526
2014-01-31,108.9037
2014-01-24,109.2102
2014-01-17,108.2617
2014-01-10,107.6628
2014-01-03,106.8487
2013-12-27,106.1044
2013-12-20,105.8575
2013-12-13,106.5384
2013-12-06,106.7756
2013-11-29,106.9578
2013-11-22,107.1888
2013-11-15,107.0582
2013-11-08,107.3137
2013-11-01,107.7605
2013-10-25,108.6029
2013-10-18,109.8614
2013-10-11,110.0342
2013-10-04,110.7394
2013-09-27,111.1202
2013-09-20,111.0328
2013-09-13,110.5645
2013-09-06,111.2525
2013-08-30,112.0466
2013-08-23,112.8488
2013-08-16,113.8692
2013-08-09,114.9275
2013-08-02,115.3429
2013-07-26,115.6995
2013-07-19,116.5375
2013-07-12,117.5916
2013-07-05,118.2877
2013-06-28,119.3321
2013-06-21,120.3454
2013-06-14,120.3991
2013-06-07,120.1276
2013-05-31,119.7547
2013-05-24,119.5161
2013-05-17,119.2268
2013-05-10,119.3207
2013-05-03,119.5342
2013-04-26,120.7674
2013-04-19,122.4912
2013-04-12,122.0884
2013-04-05,121.7773
2013-03-28,120.8649
2013-03-22,119.7618
2013-03-15,118.4045
2013-03-08,117.1216
2013-03-01,116.5206
2013-02-22,115.9035
2013-02-15,115.3019
2013-02-08,114.5428
2013-02-01,113.4094
2013-01-25,112.0344
2013-01-18,111.7241
2013-01-11,111.5630
2013-01-04,111.3461
2012-12-28,111.6091
2012-12-21,111.6254
2012-12-14,111.9618
2012-12-07,112.4127
2012-11-30,113.1543
2012-11-23,113.8460
2012-11-16,115.0478
2012-11-09,116.1609
2012-11-02,117.1764
2012-10-26,117.9968
2012-10-19,118.9867
2012-10-12,118.2620
2012-10-05,117.2639
2012-09-28,116.2771
2012-09-21,115.3922
2012-09-14,114.2870
2012-09-07,113.7903
2012-08-31,113.5345
2012-08-24,113.1234
2012-08-17,112.3727
2012-08-10,111.6932
2012-08-03,111.0783
2012-07-27,110.7159
2012-07-20,111.1463
2012-07-13,112.2014
2012-07-06,112.8712
2012-06-29,112.9605
2012-06-22,113.5767
2012-06-15,113.7214
2012-06-08,114.0884
2012-06-01,115.5032
2012-05-25,116.2970
2012-05-18,117.0542
2012-05-11,117.3727
2012-05-04,117.2821
2012-04-27,116.7684
2012-04-20,117.1286
2012-04-13,116.6371
2012-04-05,116.0165
2012-03-30,114.6918
2012-03-23,113.3494
2012-03-16,111.8312
2012-03-09,110.6567
2012-03-02,109.6034
2012-02-24,108.5794
2012-02-17,107.8655
2012-02-10,107.1654
2012-02-03,106.5283
2012-01-27,106.1502
2012-01-20,105.9392
2012-01-13,106.5676
2012-01-06,107.0320
2011-12-30,106.9629
2011-12-23,107.1185
2011-12-16,107.2986
2011-12-09,106.3204
2011-12-02,105.3806
2011-11-25,105.1780
2011-11-18,104.6530
2011-11-11,103.2457
2011-11-04,102.0606
2011-10-28,100.6895
2011-10-21,99.6358
2011-10-14,97.5153
2011-10-07,96.0779
2011-09-30,95.6267
2011-09-23,95.5590
2011-09-16,95.6905
2011-09-09,96.9802
2011-09-02,97.9354
2011-08-26,98.0319
2011-08-19,99.1098
2011-08-12,99.0783
2011-08-05,99.2930
2011-07-29,98.0202
2011-07-22,96.4690
2011-07-15,95.7978
2011-07-08,95.0724
2011-07-01,94.4212
2011-06-24,94.5543
2011-06-17,94.8878
2011-06-10,95.1372
2011-06-03,95.3130
2011-05-27,94.9902
2011-05-20,94.5690
2011-05-13,93.9287
2011-05-06,93.3653
2011-04-29,92.4088
2011-04-21,91.8749
2011-04-15,91.6380
2011-04-08,91.4743
2011-04-01,91.1111
2011-03-25,90.9175
2011-03-18,91.0154
2011-03-11,90.6022
2011-03-04,89.9687
2011-02-25,89.0769
2011-02-18,87.8654
2011-02-11,86.3837
2011-02-04,84.7676
2011-01-28,83.4977
2011-01-21,82.4947
2011-01-14,82.0192
2011-01-07,81.7262
2010-12-31,81.3952
2010-12-23,81.2285
2010-12-17,80.9604
2010-12-10,80.6103
2010-12-03,80.2027
2010-11-26,79.7566
2010-11-19,79.0991
2010-11-12,78.2742
2010-11-05,77.0867
2010-10-29,75.9754
2010-10-22,75.0603
2010-10-15,73.9932
2010-10-08,73.0374
2010-10-01,72.3661
2010-09-24,71.8143
2010-09-17,71.5600
2010-09-10,71.4120
2010-09-03,71.4315
2010-08-27,71.7036
2010-08-20,71.7248
2010-08-13,71.7306
2010-08-06,71.3295
2010-07-30,71.1103
2010-07-23,71.0251
2010-07-16,70.8657
2010-07-09,70.8519
2010-07-02,71.2782
2010-06-25,71.3126
2010-06-18,70.9289
2010-06-11,70.8333
2010-06-04,71.0659
2010-05-28,71.4055
2010-05-21,71.7023
2010-05-14,71.4059
2010-05-07,71.5626
2010-04-30,71.4502
2010-04-23,71.2516
2010-04-16,70.9175
2010-04-09,70.7065
2010-04-01,70.4883
2010-03-26,70.1948
2010-03-19,70.1561
2010-03-12,70.1204
2010-03-05,70.1527
2010-02-26,70.1378
2010-02-19,70.1610
2010-02-12,70.4394
2010-02-05,70.9095
2010-01-29,71.4723
2010-01-22,71.7322
2010-01-15,71.3824
2010-01-08,70.9795
2009-12-31,70.4531
2009-12-24,69.8476
2009-12-18,69.5332
2009-12-11,68.9198
2009-12-04,68.5153
2009-11-27,68.2411
2009-11-20,67.5951
2009-11-13,66.9044
2009-11-06,66.4664
2009-10-30,66.4076
2009-10-23,66.3096
2009-10-16,66.0608
2009-10-09,65.3729
2009-10-02,65.3139
2009-09-25,65.0277
2009-09-18,64.4883
2009-09-11,64.1929
2009-09-04,63.6790
2009-08-28,63.1251
2009-08-21,62.1613
2009-08-14,61.4150
2009-08-07,60.4034
2009-07-31,59.2016
2009-07-24,58.0430
2009-07-17,56.9916
2009-07-10,57.2928
2009-07-02,57.5405
2009-06-26,57.2863
2009-06-19,57.0588
2009-06-12,56.5153
2009-06-05,55.9198
2009-05-29,55.1578
2009-05-22,54.8511
2009-05-15,54.3000
2009-05-08,53.7361
2009-05-01,52.6540
2009-04-24,52.0532
2009-04-17,51.3419
2009-04-09,50.5312
2009-04-03,49.5443
2009-03-27,49.3624
2009-03-20,48.9175
2009-03-13,48.6531
2009-03-06,49.0124
2009-02-27,48.6487
2009-02-20,48.3987
2009-02-13,47.8132
2009-02-06,46.6594
2009-01-30,45.9334
2009-01-23,45.1870
2009-01-16,44.9658
2009-01-09,44.8375
2009-01-02,44.4618
2008-12-26,44.6470
2008-12-19,44.7449
2008-12-12,45.0960
2008-12-05,45.7779
2008-11-28,46.9818
2008-11-21,49.0824
2008-11-14,51.1959
2008-11-07,52.7998
2008-10-31,54.3108
2008-10-24,57.4855
2008-10-17,59.8458
2008-10-10,62.7303
2008-10-03,64.8147
2008-09-26,65.4265
2008-09-19,65.9676
2008-09-12,66.8485
2008-09-05,67.4858
2008-08-29,67.6430
2008-08-22,67.6473
2008-08-15,67.4393
2008-08-08,67.0388
2008-08-01,66.8218
2008-07-25,66.5150
2008-07-18,65.9406
2008-07-11,66.1540
2008-07-03,66.6080
2008-06-27,67.0411
2008-06-20,67.1099
