time,TEMA
2017-05-26,99.3362
2017-05-19,100.5492
2017-05-12,103.3046
2017-05-05,106.6706
2017-04-28,109.3121
2017-04-21,112.8049
2017-04-13,114.3011
2017-04-07,115.2995
2017-03-31,116.1842
2017-03-24,117.9271
2017-03-17,119.0811
2017-03-10,119.6462
2017-03-03,119.4457
2017-02-24,118.2673
2017-02-17,116.5514
2017-02-10,114.3989
2017-02-03,113.3673
2017-01-27,110.9413
2017-01-20,110.2301
2017-01-13,110.5239
2017-01-06,109.5915
2016-12-30,109.1386
2016-12-23,108.3214
2016-12-16,107.0271
2016-12-09,105.0301
2016-12-02,104.5414
2016-11-25,102.7069
2016-11-18,101.0423
2016-11-11,98.3367
2016-11-04,98.1703
2016-10-28,98.5360
2016-10-21,100.1699
2016-10-14,100.8725
2016-10-07,100.9541
2016-09-30,100.5095
2016-09-23,101.4326
2016-09-16,102.6177
2016-09-09,104.1588
2016-09-02,104.3494
2016-08-26,104.9698
2016-08-19,105.2319
2016-08-12,104.4070
2016-08-05,102.8702
2016-07-29,101.9346
2016-07-22,99.8265
2016-07-15,97.7594
2016-07-08,96.6511
2016-07-01,96.4268
2016-06-24,98.1858
2016-06-17,97.9278
2016-06-10,97.8422
2016-06-03,96.9578
2016-05-27,95.7521
2016-05-20,95.9765
2016-05-13,96.1552
2016-05-06,96.2380
2016-04-29,97.2518
2016-04-22,97.8312
2016-04-15,96.8813
2016-04-08,95.8181
2016-04-01,93.0746
2016-03-24,90.7212
2016-03-18,87.2338
2016-03-11,84.2022
2016-03-04,81.6834
2016-02-26,80.2256
2016-02-19,77.3708
2016-02-12,78.4106
2016-02-05,78.3431
2016-01-29,79.6418
2016-01-22,82.6952
2016-01-15,83.9543
2016-01-08,85.1892
2015-12-31,85.4919
2015-12-24,85.1140
2015-12-18,85.4519
2015-12-11,86.2684
2015-12-04,85.5348
2015-11-27,85.2320
2015-11-20,84.9776
2015-11-13,87.6124
2015-11-06,89.0675
2015-10-30,90.7945
2015-10-23,91.6583
2015-10-16,90.8851
2015-10-09,88.7914
2015-10-02,88.6150
2015-09-25,89.1474
2015-09-18,89.7545
2015-09-11,90.0647
2015-09-04,91.4055
2015-08-28,93.0512
2015-08-21,97.2806
2015-08-14,98.7853
2015-08-07,100.4582
2015-07-31,101.5008
2015-07-24,104.1923
2015-07-17,102.4574
2015-07-10,101.9135
2015-07-02,102.8288
2015-06-26,104.1465
2015-06-19,104.5199
2015-06-12,105.9721
2015-06-05,107.2521
2015-05-29,107.7324
2015-05-22,107.4684
2015-05-15,106.3253
2015-05-08,104.7669
2015-05-01,102.0898
2015-04-24,99.4875
2015-04-17,99.1858
2015-04-10,98.5816
2015-04-02,98.7492
2015-03-27,98.2921
2015-03-20,96.9905
2015-03-13,98.2280
2015-03-06,98.7390
2015-02-27,98.0295
2015-02-20,95.9206
2015-02-13,94.6820
2015-02-06,94.4748
2015-01-30,95.5332
2015-01-23,95.4631
2015-01-16,96.1073
2015-01-09,96.2400
2015-01-02,95.6465
2014-12-26,94.6453
2014-12-19,94.8818
2014-12-12,96.4533
2014-12-05,96.0255
2014-11-28,96.3480
2014-11-21,97.1767
2014-11-14,97.6656
2014-11-07,99.6586
2014-10-31,102.4359
2014-10-24,107.7360
2014-10-17,113.7775
2014-10-10,115.1989
2014-10-03,115.5838
2014-09-26,116.5917
2014-09-19,115.9104
2014-09-12,115.7729
2014-09-05,115.7768
2014-08-29,114.9336
2014-08-22,114.1535
2014-08-15,114.2871
2014-08-08,114.5502
2014-08-01,114.7015
2014-07-25,112.8661
2014-07-18,111.3285
2014-07-11,110.1713
2014-07-03,108.8853
2014-06-27,109.5894
2014-06-20,110.4664
2014-06-13,111.6241
2014-06-06,111.8303
2014-05-30,112.7424
2014-05-23,114.0689
2014-05-16,115.2562
2014-05-09,115.1155
2014-05-02,115.2837
2014-04-25,115.3837
2014-04-17,115.9338
2014-04-11,114.0191
2014-04-04,112.8678
2014-03-28,111.0937
2014-03-21,110.0836
2014-03-14,110.4441
2014-03-07,108.9651
2014-02-28,108.4356
2014-02-21,107.8421
2014-02-14,106.8246
2014-02-07,107.8264
2014-01-31,110.0658
2014-01-24,111.8889
2014-01-17,110.2529
2014-01-10,109.3290
2014-01-03,107.5511
2013-12-27,105.6378
2013-12-20,104.5476
2013-12-13,106.1191
2013-12-06,106.5941
2013-11-29,106.7530
