time,SMA
2018-08-31,100.0564
2018-08-24,99.7554
2018-08-17,99.6630
2018-08-10,99.4270
2018-08-03,99.1214
2018-07-27,99.1318
2018-07-20,99.0018
2018-07-13,98.7780
2018-07-06,98.9626
2018-06-29,99.3201
2018-06-22,100.4173
2018-06-15,100.8298
2018-06-08,101.1789
2018-06-01,101.6811
2018-05-25,102.7486
2018-05-18,103.6440
2018-05-11,104.1952
2018-05-04,105.0028
2018-04-27,105.6134
2018-04-20,106.0149
2018-04-13,105.8994
2018-04-06,106.8544
2018-03-29,107.3019
2018-03-23,108.1382
2018-03-16,108.2280
2018-03-09,107.7702
2018-03-02,107.5552
2018-02-23,107.2855
2018-02-16,107.1228
2018-02-09,107.3419
2018-02-02,106.9473
2018-01-26,105.8093
2018-01-19,104.9543
2018-01-12,103.9504
2018-01-05,103.2451
2017-12-29,103.6478
2017-12-22,103.1912
2017-12-15,102.6254
2017-12-08,101.8770
2017-12-01,101.0657
2017-11-24,100.4781
2017-11-17,99.9014
2017-11-10,99.4412
2017-11-03,98.9278
2017-10-27,97.9780
2017-10-20,96.6342
2017-10-13,96.3839
2017-10-06,96.1407
2017-09-29,96.1484
2017-09-22,96.6086
2017-09-15,97.0444
2017-09-08,97.6098
2017-09-01,98.2529
2017-08-25,98.9081
2017-08-18,99.7788
2017-08-11,100.3307
2017-08-04,100.7916
2017-07-28,101.3037
2017-07-21,101.5438
2017-07-14,101.4914
2017-07-07,101.8619
2017-06-30,102.2694
2017-06-23,103.1577
2017-06-16,104.1755
2017-06-09,105.3655
2017-06-02,106.6386
2017-05-26,108.0974
2017-05-19,109.6908
2017-05-12,111.5052
2017-05-05,113.2715
2017-04-28,114.6213
2017-04-21,115.8003
2017-04-13,116.0747
2017-04-07,116.2753
2017-03-31,115.9416
2017-03-24,115.4612
2017-03-17,114.9675
2017-03-10,114.1684
2017-03-03,113.2451
2017-02-24,112.2155
2017-02-17,111.2175
2017-02-10,109.9263
2017-02-03,109.1372
2017-01-27,108.0757
2017-01-20,107.5003
2017-01-13,106.5830
2017-01-06,105.4051
2016-12-30,104.2357
2016-12-23,103.3292
2016-12-16,102.5784
2016-12-09,101.9220
2016-12-02,101.4156
2016-11-25,100.7825
2016-11-18,100.3382
2016-11-11,100.1558
2016-11-04,100.4684
2016-10-28,100.9359
2016-10-21,101.7109
2016-10-14,102.2457
2016-10-07,102.4112
2016-09-30,102.5761
2016-09-23,102.8005
2016-09-16,102.6976
2016-09-09,102.3511
2016-09-02,101.3854
2016-08-26,100.8987
2016-08-19,100.2743
2016-08-12,99.5883
2016-08-05,98.8471
2016-07-29,98.0122
2016-07-22,97.0934
2016-07-15,96.3506
2016-07-08,95.7475
2016-07-01,95.4642
2016-06-24,95.7293
2016-06-17,95.4889
2016-06-10,95.4425
2016-06-03,95.0116
2016-05-27,94.5860
2016-05-20,94.1418
2016-05-13,93.3951
2016-05-06,92.3102
2016-04-29,91.5035
2016-04-22,89.8335
2016-04-15,88.2003
2016-04-08,86.4801
2016-04-01,84.4836
2016-03-24,83.2812
2016-03-18,82.2140
2016-03-11,81.7203
2016-03-04,81.6609
2016-02-26,81.8165
2016-02-19,81.8228
2016-02-12,82.8953
2016-02-05,83.6060
2016-01-29,84.4931
2016-01-22,85.1015
2016-01-15,85.5918
2016-01-08,86.0552
2015-12-31,86.5450
2015-12-24,87.2177
2015-12-18,88.1689
2015-12-11,88.7434
2015-12-04,88.9264
2015-11-27,89.2671
2015-11-20,89.7359
2015-11-13,90.5339
2015-11-06,91.0342
2015-10-30,91.2189
2015-10-23,91.8689
2015-10-16,92.2993
2015-10-09,92.7948
2015-10-02,93.5330
2015-09-25,95.2089
2015-09-18,96.5247
2015-09-11,97.4644
2015-09-04,98.5036
2015-08-28,99.6858
2015-08-21,100.9607
2015-08-14,101.6194
2015-08-07,102.3681
2015-07-31,103.0102
2015-07-24,103.9009
2015-07-17,103.8923
2015-07-10,104.2141
2015-07-02,104.5696
2015-06-26,104.3815
2015-06-19,103.9798
2015-06-12,103.5571
2015-06-05,103.1202
2015-05-29,102.5851
2015-05-22,101.4602
2015-05-15,100.4460
2015-05-08,99.6937
2015-05-01,99.0668
2015-04-24,98.3849
2015-04-17,98.0114
2015-04-10,97.4334
2015-04-02,97.2783
2015-03-27,96.9292
2015-03-20,96.6306
2015-03-13,96.9425
2015-03-06,97.1060
2015-02-27,96.8334
2015-02-20,96.2588
2015-02-13,96.4058
2015-02-06,96.6821
2015-01-30,97.1405
2015-01-23,97.4991
2015-01-16,97.8152
2015-01-09,98.0668
2015-01-02,98.0446
2014-12-26,98.2705
2014-12-19,99.8452
2014-12-12,101.8195
2014-12-05,103.2751
2014-11-28,105.1455
2014-11-21,106.8832
2014-11-14,108.4211
2014-11-07,110.2130
2014-10-31,111.8517
2014-10-24,113.4276
2014-10-17,114.6934
2014-10-10,114.8593
2014-10-03,115.0686
2014-09-26,115.1692
2014-09-19,114.7901
2014-09-12,114.4934
2014-09-05,113.8603
2014-08-29,113.1460
2014-08-22,112.5384
2014-08-15,112.3588
2014-08-08,112.1091
2014-08-01,111.8360
2014-07-25,111.3744
2014-07-18,111.3636
2014-07-11,111.4474
2014-07-03,111.5930
2014-06-27,112.0356
2014-06-20,112.8270
2014-06-13,113.3200
2014-06-06,113.5789
2014-05-30,113.6741
2014-05-23,113.4823
2014-05-16,113.4737
2014-05-09,112.9426
2014-05-02,112.4514
2014-04-25,111.9764
2014-04-17,111.2107
2014-04-11,109.9472
2014-04-04,109.1663
2014-03-28,109.0207
2014-03-21,108.8908
2014-03-14,109.0983
2014-03-07,108.9054
2014-02-28,108.7109
2014-02-21,108.0821
2014-02-14,107.7149
2014-02-07,107.8055
2014-01-31,108.0566
2014-01-24,108.2890
2014-01-17,107.6931
2014-01-10,107.2593
2014-01-03,106.6038
2013-12-27,105.9022
2013-12-20,106.1030
2013-12-13,106.5583
2013-12-06,106.9495
2013-11-29,107.5192
2013-11-22,108.2568
2013-11-15,108.2088
2013-11-08,108.3555
2013-11-01,108.6726
2013-10-25,109.1603
2013-10-18,109.9012
2013-10-11,110.4191
2013-10-04,111.2453
2013-09-27,111.6510
2013-09-20,111.7334
2013-09-13,111.7876
2013-09-06,112.2308
2013-08-30,112.7851
2013-08-23,113.7977
2013-08-16,115.0158
2013-08-09,116.2106
2013-08-02,116.9320
2013-07-26,117.5894
2013-07-19,118.2226
2013-07-12,118.8353
2013-07-05,118.7343
2013-06-28,118.6237
2013-06-21,119.5330
2013-06-14,119.8070
2013-06-07,120.0918
2013-05-31,120.2862
2013-05-24,120.5492
2013-05-17,120.6109
2013-05-10,120.4625
2013-05-03,120.3386
2013-04-26,120.6789
2013-04-19,121.2537
2013-04-12,120.8379
2013-04-05,120.5407
2013-03-28,119.4146
2013-03-22,118.2140
2013-03-15,117.0262
2013-03-08,115.7627
2013-03-01,115.1574
2013-02-22,114.5307
2013-02-15,113.9904
2013-02-08,113.3459
2013-02-01,112.6623
2013-01-25,111.7172
2013-01-18,111.4651
2013-01-11,111.3887
2013-01-04,111.4200
2012-12-28,111.6310
2012-12-21,112.4989
2012-12-14,113.5080
2012-12-07,114.3767
2012-11-30,115.1542
2012-11-23,115.8640
2012-11-16,116.4397
2012-11-09,116.7721
2012-11-02,117.0968
2012-10-26,117.4382
2012-10-19,117.7379
2012-10-12,117.1023
2012-10-05,116.2597
2012-09-28,115.1561
2012-09-21,113.9834
2012-09-14,113.0790
2012-09-07,112.8550
2012-08-31,112.5681
2012-08-24,112.4968
2012-08-17,112.2112
2012-08-10,111.5538
2012-08-03,111.3494
2012-07-27,111.3298
2012-07-20,111.9151
2012-07-13,112.9266
2012-07-06,113.7972
2012-06-29,113.8375
2012-06-22,114.4956
2012-06-15,114.8402
2012-06-08,115.5030
2012-06-01,116.4983
2012-05-25,117.0540
2012-05-18,117.2910
2012-05-11,117.1528
2012-05-04,116.7401
2012-04-27,115.9940
2012-04-20,115.7308
2012-04-13,114.9832
2012-04-05,114.0783
2012-03-30,112.8265
2012-03-23,111.2866
2012-03-16,109.8947
2012-03-09,109.0369
2012-03-02,108.2261
2012-02-24,107.4797
2012-02-17,107.4314
2012-02-10,107.2664
2012-02-03,106.7070
2012-01-27,106.3623
2012-01-20,106.4345
2012-01-13,106.7275
2012-01-06,106.8792
2011-12-30,106.5388
2011-12-23,106.7669
2011-12-16,106.6387
2011-12-09,105.4949
2011-12-02,104.2981
2011-11-25,103.5030
2011-11-18,102.1077
2011-11-11,100.5755
2011-11-04,99.6835
2011-10-28,98.3011
2011-10-21,97.7200
2011-10-14,96.5292
2011-10-07,96.4596
2011-09-30,96.9560
2011-09-23,97.1262
2011-09-16,97.3894
2011-09-09,98.1365
2011-09-02,98.2469
2011-08-26,97.8126
2011-08-19,97.9467
2011-08-12,97.5304
2011-08-05,97.4650
2011-07-29,96.6690
2011-07-22,95.8696
2011-07-15,95.5097
2011-07-08,95.3081
2011-07-01,94.9327
2011-06-24,94.8290
2011-06-17,94.7732
2011-06-10,94.7308
2011-06-03,94.5074
2011-05-27,93.8547
2011-05-20,93.3930
2011-05-13,92.8863
2011-05-06,92.5032
2011-04-29,92.0205
2011-04-21,91.8244
2011-04-15,91.7565
2011-04-08,91.4807
2011-04-01,90.9377
2011-03-25,90.2422
2011-03-18,89.6411
2011-03-11,88.8202
2011-03-04,87.8567
2011-02-25,86.8654
2011-02-18,85.7917
2011-02-11,84.6498
2011-02-04,83.4927
2011-01-28,82.6381
2011-01-21,81.9889
2011-01-14,81.7372
2011-01-07,81.4797
2010-12-31,81.0624
2010-12-23,80.7898
2010-12-17,80.3837
2010-12-10,79.7921
2010-12-03,79.1378
2010-11-26,78.3572
2010-11-19,77.4598
2010-11-12,76.4767
2010-11-05,75.3043
2010-10-29,74.4036
2010-10-22,73.6777
2010-10-15,73.1110
2010-10-08,72.5402
2010-10-01,72.1093
2010-09-24,71.8022
2010-09-17,71.6058
2010-09-10,71.2883
2010-09-03,71.2897
2010-08-27,71.6085
2010-08-20,71.6248
2010-08-13,71.4834
2010-08-06,71.1067
2010-07-30,70.8842
2010-07-23,71.0236
2010-07-16,70.8897
2010-07-09,70.9647
2010-07-02,71.2717
2010-06-25,71.3860
2010-06-18,71.1896
2010-06-11,71.1456
2010-06-04,71.3160
2010-05-28,71.4139
2010-05-21,71.4962
2010-05-14,71.2573
2010-05-07,71.2888
2010-04-30,71.1729
2010-04-23,70.9038
2010-04-16,70.5026
2010-04-09,70.1756
2010-04-01,70.0304
2010-03-26,70.1269
2010-03-19,70.3134
2010-03-12,70.4904
2010-03-05,70.6758
2010-02-26,70.6606
2010-02-19,70.7587
2010-02-12,70.8363
2010-02-05,70.9145
2010-01-29,71.1614
2010-01-22,71.2078
2010-01-15,70.7819
2010-01-08,70.1751
2009-12-31,69.5618
2009-12-24,69.0221
2009-12-18,68.8611
2009-12-11,68.2382
2009-12-04,67.8574
2009-11-27,67.6018
2009-11-20,66.9821
2009-11-13,66.4434
2009-11-06,66.0380
2009-10-30,66.0001
2009-10-23,65.7845
2009-10-16,65.5871
2009-10-09,65.1959
2009-10-02,65.0587
2009-09-25,64.6999
2009-09-18,63.5879
2009-09-11,62.7133
2009-09-04,62.0290
2009-08-28,61.3466
2009-08-21,60.6432
2009-08-14,60.0632
2009-08-07,59.4182
2009-07-31,58.4571
2009-07-24,57.6388
2009-07-17,56.9032
2009-07-10,57.0909
2009-07-02,56.9551
2009-06-26,56.6144
2009-06-19,56.3175
2009-06-12,55.9203
2009-06-05,55.0926
2009-05-29,54.3412
2009-05-22,53.7688
2009-05-15,52.7976
2009-05-08,52.2286
2009-05-01,51.3596
2009-04-24,50.9306
2009-04-17,50.6932
2009-04-09,50.1406
2009-04-03,49.5093
2009-03-27,49.0912
2009-03-20,48.5703
2009-03-13,48.2781
2009-03-06,48.0928
2009-02-27,47.6392
2009-02-20,47.2463
2009-02-13,46.7243
2009-02-06,45.8859
2009-01-30,45.0810
2009-01-23,44.5193
2009-01-16,44.6942
2009-01-09,45.1020
2009-01-02,44.7435
2008-12-26,45.2826
2008-12-19,45.6423
2008-12-12,46.6232
2008-12-05,48.4749
2008-11-28,50.4686
2008-11-21,52.5782
2008-11-14,54.6317
2008-11-07,56.4821
2008-10-31,58.1967
2008-10-24,60.6856
2008-10-17,62.6360
2008-10-10,64.5660
2008-10-03,65.9655
2008-09-26,66.6057
2008-09-19,66.7608
2008-09-12,66.9653
2008-09-05,67.0476
2008-08-29,67.0290
2008-08-22,67.0558
2008-08-15,66.9700
2008-08-08,66.9562
2008-08-01,66.8081
2008-07-25,66.8076
2008-07-18,66.4841
2008-07-11,66.5092
2008-07-03,66.6630
2008-06-27,66.7472
2008-06-20,66.3574
2008-06-13,65.8448
2008-06-06,65.2072
2008-05-30,64.6399
2008-05-23,64.0249
2008-05-16,63.2196
2008-05-09,62.6742
2008-05-02,61.8685
2008-04-25,61.0035
2008-04-18,59.9804
2008-04-11,59.5414
2008-04-04,58.8810
2008-03-28,58.0704
2008-03-20,57.3238
2008-03-14,56.6276
2008-03-07,56.3984
2008-02-29,56.2212
2008-02-22,56.0761
2008-02-15,56.1718
2008-02-08,56.2863
2008-02-01,56.0734
2008-01-25,56.0697
2008-01-18,56.2150
2008-01-11,56.7311
2008-01-04,57.4302
2007-12-28,57.5006
2007-12-21,57.8373
2007-12-14,58.3862
2007-12-07,58.8219
2007-11-30,59.4090
2007-11-23,59.9353
2007-11-16,60.5416
2007-11-09,61.2885
2007-11-02,61.1766
2007-10-26,61.0175
2007-10-19,61.1246
2007-10-12,60.7865
2007-10-05,60.7395
2007-09-28,60.5732
2007-09-21,60.1111
2007-09-14,59.7742
2007-09-07,59.1839
2007-08-31,58.5486
2007-08-24,58.1190
2007-08-17,57.6739
2007-08-10,57.3098
2007-08-03,56.9716
2007-07-27,56.5240
2007-07-20,56.0448
2007-07-13,55.7168
2007-07-06,55.2935
2007-06-29,54.7435
2007-06-22,54.2095
2007-06-15,53.7227
2007-06-08,53.2617
2007-06-01,52.6262
2007-05-25,51.9930
2007-05-18,51.2416
2007-05-11,50.4009
2007-05-04,50.1430
2007-04-27,50.0140
2007-04-20,50.1956
2007-04-13,50.4000
2007-04-05,50.4724
2007-03-30,50.5577
2007-03-23,50.7820
2007-03-16,51.0059
2007-03-09,51.1948
2007-03-02,51.4298
2007-02-23,51.2616
2007-02-16,50.9867
2007-02-09,50.6405
2007-02-02,50.3014
2007-01-26,50.0742
2007-01-19,49.8291
2007-01-12,49.3990
2007-01-05,48.9534
2006-12-29,48.5644
2006-12-22,48.0817
2006-12-15,47.4478
2006-12-08,46.8063
2006-12-01,46.2225
2006-11-24,45.6758
2006-11-17,44.9710
2006-11-10,44.4030
2006-11-03,43.7967
2006-10-27,43.2323
2006-10-20,42.4895
2006-10-13,41.9271
2006-10-06,41.5608
2006-09-29,41.1874
2006-09-22,40.7380
2006-09-15,40.3885
2006-09-08,40.2123
2006-09-01,39.9792
2006-08-25,39.8663
2006-08-18,39.7544
2006-08-11,39.9080
