time,EMA
2006-01-13,42.7796
2006-01-06,42.8075
2005-12-30,43.0055
2005-12-23,43.1310
2005-12-16,43.3127
2005-12-09,43.1077
2005-12-02,42.7002
2005-11-25,42.1568
2005-11-18,41.6283
2005-11-11,41.3608
2005-11-04,41.1864
2005-10-28,41.1523
2005-10-21,40.9259
2005-10-14,40.7382
2005-10-07,40.6350
2005-09-30,40.6238
2005-09-23,40.8254
2005-09-16,40.9106
2005-09-09,40.8694
2005-09-02,40.9690
2005-08-26,41.0568
2005-08-19,40.8542
2005-08-12,40.7024
2005-08-05,40.3467
2005-07-29,39.9805
2005-07-22,39.4228
2005-07-15,38.9648
2005-07-08,38.6963
2005-07-01,38.9326
2005-06-24,39.2630
2005-06-17,39.4397
2005-06-10,39.8276
2005-06-03,40.1556
2005-05-27,40.4666
2005-05-20,40.8804
2005-05-13,41.7470
2005-05-06,42.5623
2005-04-29,43.3994
2005-04-22,44.6066
2005-04-15,45.8678
2005-04-08,46.2654
2005-04-01,46.4453
2005-03-24,46.5946
2005-03-18,46.9217
2005-03-11,47.0881
2005-03-04,47.1963
2005-02-25,47.3084
2005-02-18,47.4296
2005-02-11,47.5228
2005-02-04,47.5235
2005-01-28,47.6027
2005-01-21,47.8058
2005-01-14,47.9478
2005-01-07,47.8828
2004-12-31,47.4464
2004-12-23,47.0563
2004-12-17,46.7295
2004-12-10,46.2741
2004-12-03,45.7141
2004-11-26,45.2469
2004-11-19,44.7474
2004-11-12,44.0496
2004-11-05,43.4856
2004-10-29,43.1702
2004-10-22,43.0048
2004-10-15,43.1444
2004-10-08,43.0392
2004-10-01,42.8849
2004-09-24,43.0203
2004-09-17,43.0405
2004-09-10,42.8865
2004-09-03,42.9552
2004-08-27,43.0537
2004-08-20,43.1003
2004-08-13,43.3282
2004-08-06,43.6314
2004-07-30,43.6441
2004-07-23,43.8848
2004-07-16,44.2180
2004-07-09,44.6809
2004-07-02,44.9681
2004-06-25,44.9613
2004-06-18,44.8760
2004-06-10,44.8108
2004-06-04,44.8761
2004-05-28,45.0294
2004-05-21,45.2546
2004-05-14,45.8031
2004-05-07,46.2170
2004-04-30,46.6838
2004-04-23,46.9629
2004-04-16,47.1761
2004-04-08,47.2586
2004-04-02,47.3095
2004-03-26,47.4785
2004-03-19,47.8763
2004-03-12,48.2146
2004-03-05,48.1953
2004-02-27,48.1707
2004-02-20,48.0404
2004-02-13,47.5931
2004-02-06,47.1220
2004-01-30,46.5819
2004-01-23,46.0606
