time,DEMA
2018-06-08,96.7661
2018-06-01,97.3566
2018-05-25,98.1309
2018-05-18,98.4886
2018-05-11,99.1622
2018-05-04,100.7284
2018-04-27,102.0141
2018-04-20,104.3115
2018-04-13,103.5335
2018-04-06,104.3427
2018-03-29,104.9716
2018-03-23,106.4462
2018-03-16,105.8690
2018-03-09,105.0941
2018-03-02,105.6858
2018-02-23,105.9556
2018-02-16,106.2975
2018-02-09,108.1825
2018-02-02,109.0468
2018-01-26,107.3108
2018-01-19,106.6679
2018-01-12,104.6800
2018-01-05,102.6798
2017-12-29,102.3694
2017-12-22,102.5084
2017-12-15,102.3931
2017-12-08,101.7380
2017-12-01,100.6143
2017-11-24,100.1420
2017-11-17,99.9008
2017-11-10,100.0704
2017-11-03,99.8572
2017-10-27,98.9571
2017-10-20,95.2975
2017-10-13,94.7270
2017-10-06,94.1910
2017-09-29,93.8354
2017-09-22,93.4604
2017-09-15,93.0910
2017-09-08,93.0188
2017-09-01,92.9931
2017-08-25,92.8469
2017-08-18,94.0477
2017-08-11,95.0282
2017-08-04,95.9796
2017-07-28,97.5029
2017-07-21,98.8475
2017-07-14,98.7944
2017-07-07,98.9715
2017-06-30,99.0713
2017-06-23,98.9392
2017-06-16,98.5988
2017-06-09,98.6035
2017-06-02,99.3848
2017-05-26,100.4880
2017-05-19,102.0159
2017-05-12,104.5793
2017-05-05,107.4563
2017-04-28,109.7122
2017-04-21,112.4050
2017-04-13,113.5882
2017-04-07,114.3546
2017-03-31,114.9764
2017-03-24,116.0858
2017-03-17,116.6610
2017-03-10,116.7216
2017-03-03,116.1752
2017-02-24,114.9232
2017-02-17,113.3162
2017-02-10,111.4600
2017-02-03,110.4125
2017-01-27,108.4586
2017-01-20,107.7365
2017-01-13,107.6742
2017-01-06,106.7392
2016-12-30,106.1273
2016-12-23,105.2537
2016-12-16,104.0686
2016-12-09,102.4606
2016-12-02,101.9343
2016-11-25,100.5275
2016-11-18,99.3309
2016-11-11,97.5552
2016-11-04,97.6345
2016-10-28,98.0993
2016-10-21,99.3968
2016-10-14,99.9940
2016-10-07,100.1469
2016-09-30,99.9556
2016-09-23,100.6967
2016-09-16,101.5513
2016-09-09,102.5520
2016-09-02,102.5415
2016-08-26,102.7634
2016-08-19,102.6632
2016-08-12,101.7767
2016-08-05,100.4179
2016-07-29,99.4976
2016-07-22,97.8189
2016-07-15,96.2633
2016-07-08,95.4433
2016-07-01,95.2565
2016-06-24,96.3660
2016-06-17,96.0084
2016-06-10,95.7407
2016-06-03,94.9116
2016-05-27,93.8860
2016-05-20,93.8357
2016-05-13,93.6975
2016-05-06,93.4329
2016-04-29,93.7123
2016-04-22,93.5654
2016-04-15,92.2876
2016-04-08,90.8996
2016-04-01,88.3819
2016-03-24,86.2105
2016-03-18,83.3770
2016-03-11,81.0198
2016-03-04,79.1730
2016-02-26,78.1865
2016-02-19,76.4013
2016-02-12,77.4003
2016-02-05,77.6625
2016-01-29,78.8848
2016-01-22,81.2313
2016-01-15,82.2473
2016-01-08,83.1978
2015-12-31,83.4828
2015-12-24,83.3267
2015-12-18,83.6942
2015-12-11,84.3866
2015-12-04,84.0434
2015-11-27,84.0709
2015-11-20,84.2009
2015-11-13,86.2997
2015-11-06,87.5051
2015-10-30,88.8341
2015-10-23,89.5156
2015-10-16,89.0937
2015-10-09,87.8901
2015-10-02,88.1327
2015-09-25,88.9195
2015-09-18,89.7953
2015-09-11,90.5157
2015-09-04,91.9753
2015-08-28,93.6318
2015-08-21,96.9512
2015-08-14,98.2649
2015-08-07,99.6284
2015-07-31,100.4963
2015-07-24,102.3920
2015-07-17,101.2110
2015-07-10,100.9236
2015-07-02,101.6356
2015-06-26,102.5550
2015-06-19,102.7620
2015-06-12,103.6343
2015-06-05,104.2684
2015-05-29,104.2473
2015-05-22,103.6464
2015-05-15,102.4191
2015-05-08,100.9272
2015-05-01,98.7438
2015-04-24,96.7398
2015-04-17,96.3880
2015-04-10,95.8412
2015-04-02,95.8258
2015-03-27,95.3771
2015-03-20,94.3941
2015-03-13,95.1565
2015-03-06,95.3565
2015-02-27,94.7117
2015-02-20,93.1883
2015-02-13,92.3811
2015-02-06,92.3558
2015-01-30,93.2077
2015-01-23,93.2858
2015-01-16,93.8736
2015-01-09,94.1237
2015-01-02,93.9329
2014-12-26,93.5683
2014-12-19,94.1504
2014-12-12,95.6732
2014-12-05,95.8664
2014-11-28,96.6708
2014-11-21,97.8885
2014-11-14,98.9392
2014-11-07,101.0602
2014-10-31,103.6805
2014-10-24,107.8753
2014-10-17,112.2798
2014-10-10,113.2866
2014-10-03,113.5192
2014-09-26,114.1239
2014-09-19,113.5368
2014-09-12,113.3292
2014-09-05,113.2021
2014-08-29,112.4968
2014-08-22,111.8675
2014-08-15,111.8720
2014-08-08,111.9363
2014-08-01,111.8895
2014-07-25,110.5077
2014-07-18,109.4257
2014-07-11,108.6925
2014-07-03,107.9624
2014-06-27,108.6440
2014-06-20,109.4189
2014-06-13,110.3410
2014-06-06,110.5767
2014-05-30,111.2692
2014-05-23,112.1747
2014-05-16,112.8912
2014-05-09,112.6357
2014-05-02,112.5604
2014-04-25,112.3930
2014-04-17,112.4713
2014-04-11,110.8484
2014-04-04,109.8042
2014-03-28,108.3892
2014-03-21,107.5633
2014-03-14,107.6821
2014-03-07,106.5532
2014-02-28,106.1295
2014-02-21,105.6922
2014-02-14,105.0150
2014-02-07,105.7337
2014-01-31,107.2010
2014-01-24,108.2354
2014-01-17,106.8520
2014-01-10,106.0106
2014-01-03,104.6476
2013-12-27,103.3025
2013-12-20,102.6301
2013-12-13,103.7945
2013-12-06,104.1573
2013-11-29,104.2965
2013-11-22,104.3131
2013-11-15,103.5263
2013-11-08,103.3815
2013-11-01,103.5654
2013-10-25,104.6117
2013-10-18,106.7508
2013-10-11,106.8358
2013-10-04,107.9108
2013-09-27,108.4370
2013-09-20,108.0200
2013-09-13,106.5651
2013-09-06,107.2545
2013-08-30,108.2579
2013-08-23,109.2442
2013-08-16,110.6179
2013-08-09,112.0807
2013-08-02,112.2249
2013-07-26,112.0281
2013-07-19,112.6865
2013-07-12,113.8642
2013-07-05,114.6654
2013-06-28,116.6543
2013-06-21,118.8653
2013-06-14,119.4007
2013-06-07,119.1931
2013-05-31,118.5630
2013-05-24,117.9050
2013-05-17,116.8586
2013-05-10,116.4330
2013-05-03,116.2033
2013-04-26,118.1972
2013-04-19,121.7864
2013-04-12,121.6312
2013-04-05,121.7077
2013-03-28,120.7867
2013-03-22,119.5446
2013-03-15,117.7188
2013-03-08,115.9428
2013-03-01,115.4189
2013-02-22,114.9141
2013-02-15,114.4751
2013-02-08,113.7556
2013-02-01,112.1609
2013-01-25,109.8360
2013-01-18,109.3864
2013-01-11,109.1906
2013-01-04,108.8015
2012-12-28,109.3660
2012-12-21,109.1795
2012-12-14,109.2864
2012-12-07,109.3580
2012-11-30,109.8473
2012-11-23,110.1090
2012-11-16,111.4680
2012-11-09,112.9595
2012-11-02,114.5979
2012-10-26,116.1749
2012-10-19,118.5438
2012-10-12,117.8355
2012-10-05,116.5400
2012-09-28,115.2603
2012-09-21,114.2586
2012-09-14,112.7474
2012-09-07,112.2568
2012-08-31,112.2869
2012-08-24,111.9707
2012-08-17,110.8416
2012-08-10,109.7790
2012-08-03,108.6037
2012-07-27,107.6614
2012-07-20,108.0779
2012-07-13,109.7312
2012-07-06,110.6708
2012-06-29,110.5369
2012-06-22,111.3502
2012-06-15,111.1707
2012-06-08,111.1855
2012-06-01,113.2988
2012-05-25,114.3984
2012-05-18,115.6631
2012-05-11,116.3325
2012-05-04,116.3804
2012-04-27,115.6986
2012-04-20,116.9387
2012-04-13,116.8128
2012-04-05,116.6468
2012-03-30,115.1905
2012-03-23,113.7790
2012-03-16,111.9903
2012-03-09,110.7188
2012-03-02,109.5954
2012-02-24,108.4288
2012-02-17,107.5800
2012-02-10,106.5032
2012-02-03,105.4170
2012-01-27,104.7034
2012-01-20,104.0936
2012-01-13,105.1443
2012-01-06,106.0684
2011-12-30,106.1366
2011-12-23,106.6201
2011-12-16,107.3265
2011-12-09,105.9224
2011-12-02,104.5837
2011-11-25,104.8420
2011-11-18,104.9573
2011-11-11,103.5874
2011-11-04,102.5990
2011-10-28,101.3612
2011-10-21,100.6529
2011-10-14,97.6021
2011-10-07,95.1394
2011-09-30,93.9716
2011-09-23,93.2530
2011-09-16,92.6644
2011-09-09,94.3486
2011-09-02,95.7680
2011-08-26,95.7959
2011-08-19,98.1197
