time,TRIMA
2017-12-01,101.8638
2017-11-24,101.1351
2017-11-17,100.1349
2017-11-10,99.1776
2017-11-03,98.2790
2017-10-27,97.4003
2017-10-20,96.6518
2017-10-13,96.2873
2017-10-06,95.9910
2017-09-29,95.7920
2017-09-22,95.8976
2017-09-15,96.3349
2017-09-08,97.0246
2017-09-01,97.9439
2017-08-25,99.0654
2017-08-18,100.1699
2017-08-11,100.9734
2017-08-04,101.5327
2017-07-28,101.8447
2017-07-21,101.8201
2017-07-14,101.5767
2017-07-07,101.4676
2017-06-30,101.5545
2017-06-23,102.0313
2017-06-16,103.0131
2017-06-09,104.5304
2017-06-02,106.3552
2017-05-26,108.3468
2017-05-19,110.3439
2017-05-12,112.1446
2017-05-05,113.6593
2017-04-28,114.9197
2017-04-21,115.9820
2017-04-13,116.6441
2017-04-07,117.0382
2017-03-31,117.0023
2017-03-24,116.4718
2017-03-17,115.5249
2017-03-10,114.3189
2017-03-03,112.9815
2017-02-24,111.6642
2017-02-17,110.6200
2017-02-10,109.7219
2017-02-03,108.9845
2017-01-27,108.2909
2017-01-20,107.6934
2017-01-13,106.8600
2017-01-06,105.8206
2016-12-30,104.6611
2016-12-23,103.4187
2016-12-16,102.1838
2016-12-09,101.1578
2016-12-02,100.4748
2016-11-25,100.0934
2016-11-18,100.0366
2016-11-11,100.2137
2016-11-04,100.5364
2016-10-28,100.8907
2016-10-21,101.3706
2016-10-14,101.9150
2016-10-07,102.4289
2016-09-30,102.9130
2016-09-23,103.3361
2016-09-16,103.4434
2016-09-09,103.1124
2016-09-02,102.3117
2016-08-26,101.3235
2016-08-19,100.1331
2016-08-12,98.9550
2016-08-05,98.0026
2016-07-29,97.3570
2016-07-22,96.9145
2016-07-15,96.5888
2016-07-08,96.2580
2016-07-01,95.8358
2016-06-24,95.4421
2016-06-17,95.0435
2016-06-10,94.8189
2016-06-03,94.7033
2016-05-27,94.7384
2016-05-20,94.6913
2016-05-13,94.3118
2016-05-06,93.4768
2016-04-29,92.2794
2016-04-22,90.5182
2016-04-15,88.4368
2016-04-08,86.2624
2016-04-01,84.1269
2016-03-24,82.3147
2016-03-18,80.9793
2016-03-11,80.3563
2016-03-04,80.3510
2016-02-26,80.9320
2016-02-19,81.8572
2016-02-12,83.0640
2016-02-05,84.1510
2016-01-29,85.0806
2016-01-22,85.6464
2016-01-15,85.9796
2016-01-08,86.1837
2015-12-31,86.3133
2015-12-24,86.5876
2015-12-18,87.2469
2015-12-11,88.1278
2015-12-04,89.0352
2015-11-27,89.9762
2015-11-20,90.7655
2015-11-13,91.2116
2015-11-06,91.2859
2015-10-30,91.2036
2015-10-23,91.2434
2015-10-16,91.4648
2015-10-09,92.0384
2015-10-02,92.9638
2015-09-25,94.4377
2015-09-18,96.1665
2015-09-11,97.8102
2015-09-04,99.3047
2015-08-28,100.6764
2015-08-21,101.6784
2015-08-14,102.0864
2015-08-07,102.3905
2015-07-31,102.7445
2015-07-24,103.1720
2015-07-17,103.5722
2015-07-10,104.2486
2015-07-02,104.9279
2015-06-26,105.2450
2015-06-19,105.1407
2015-06-12,104.6260
2015-06-05,103.6922
2015-05-29,102.4698
2015-05-22,101.1163
2015-05-15,99.9088
2015-05-08,98.9948
2015-05-01,98.4318
2015-04-24,98.0757
2015-04-17,97.9047
2015-04-10,97.7700
2015-04-02,97.6280
2015-03-27,97.2695
2015-03-20,96.8135
2015-03-13,96.5037
2015-03-06,96.3367
2015-02-27,96.2787
2015-02-20,96.2973
2015-02-13,96.5789
2015-02-06,96.9058
2015-01-30,97.1388
2015-01-23,97.3279
2015-01-16,97.6365
2015-01-09,97.9577
2015-01-02,98.1770
2014-12-26,98.4734
2014-12-19,99.1859
2014-12-12,100.3174
2014-12-05,101.8162
2014-11-28,103.9565
2014-11-21,106.6063
2014-11-14,109.2773
2014-11-07,111.6017
2014-10-31,113.4470
2014-10-24,114.6909
2014-10-17,115.2238
2014-10-10,115.2114
2014-10-03,115.1028
2014-09-26,114.9096
2014-09-19,114.6451
2014-09-12,114.4676
2014-09-05,114.2022
2014-08-29,113.7397
2014-08-22,113.0895
2014-08-15,112.4172
2014-08-08,111.7011
2014-08-01,111.0806
2014-07-25,110.7145
2014-07-18,110.7705
2014-07-11,111.0792
2014-07-03,111.5400
2014-06-27,112.1359
2014-06-20,112.8325
2014-06-13,113.4250
2014-06-06,113.8548
2014-05-30,114.1362
2014-05-23,114.1700
2014-05-16,113.9529
2014-05-09,113.3989
2014-05-02,112.6796
2014-04-25,111.8640
2014-04-17,111.0090
2014-04-11,110.0478
2014-04-04,109.1660
2014-03-28,108.5780
2014-03-21,108.2067
2014-03-14,108.1023
2014-03-07,108.2951
2014-02-28,108.7648
2014-02-21,108.9914
2014-02-14,108.9274
2014-02-07,108.6700
2014-01-31,108.1300
2014-01-24,107.4549
2014-01-17,106.8890
2014-01-10,106.6787
2014-01-03,106.5657
2013-12-27,106.4713
2013-12-20,106.4952
2013-12-13,106.4842
2013-12-06,106.4466
2013-11-29,106.6463
2013-11-22,107.2917
2013-11-15,108.0366
2013-11-08,108.7986
2013-11-01,109.5409
2013-10-25,110.0782
2013-10-18,110.2268
2013-10-11,110.2026
2013-10-04,110.4528
2013-09-27,110.8090
2013-09-20,111.2919
2013-09-13,112.0191
2013-09-06,112.8198
2013-08-30,113.3583
2013-08-23,113.8529
2013-08-16,114.4916
2013-08-09,115.2568
2013-08-02,116.1708
2013-07-26,117.4186
2013-07-19,118.7365
2013-07-12,119.7770
2013-07-05,120.2513
