time,Real Lower Band,Real Middle Band,Real Upper Band
2021-01-22,89.2468,97.7143,106.1818
2021-01-15,95.2732,98.8443,102.4153
2021-01-08,94.7250,98.2012,101.6775
2020-12-31,95.5845,97.9937,100.4029
2020-12-24,95.1388,97.7549,100.3710
2020-12-18,88.2148,96.5454,104.8759
2020-12-11,85.2191,95.1408,105.0624
2020-12-04,80.6452,93.2966,105.9479
2020-11-27,79.2301,90.6288,102.0276
2020-11-20,82.9371,89.0738,95.2105
2020-11-13,78.8937,90.2034,101.5131
2020-11-06,76.5758,91.6333,106.6908
2020-10-30,78.7503,92.6382,106.5262
2020-10-23,83.6344,93.7602,103.8859
2020-10-16,87.2357,94.8005,102.3653
2020-10-09,87.1663,94.1126,101.0589
2020-10-02,90.1414,93.2677,96.3940
2020-09-25,89.3864,93.9602,98.5340
2020-09-18,91.8347,94.6081,97.3816
2020-09-11,91.5235,94.9944,98.4653
2020-09-04,92.7707,95.5330,98.2954
2020-08-28,91.9078,95.3879,98.8681
2020-08-21,91.9815,95.2495,98.5174
2020-08-14,92.0881,95.3016,98.5152
2020-08-07,87.2506,94.0022,100.7537
2020-07-31,86.2871,92.9555,99.6238
2020-07-24,84.0058,92.0819,100.1581
2020-07-17,85.0260,91.5776,98.1292
2020-07-10,86.4854,91.0915,95.6975
2020-07-02,81.6608,93.1742,104.6876
2020-06-26,82.8742,93.9642,105.0542
2020-06-19,83.7569,94.1465,104.5361
2020-06-12,81.0725,93.3125,105.5524
2020-06-05,81.2831,93.4765,105.6700
2020-05-29,85.0582,91.6829,98.3075
2020-05-22,85.8645,91.4042,96.9438
2020-05-15,85.9338,91.4249,96.9160
2020-05-08,87.7746,91.8667,95.9587
2020-05-01,74.5964,89.1229,103.6495
2020-04-24,70.2222,87.0483,103.8745
2020-04-17,60.9678,82.6518,104.3358
2020-04-09,62.1800,80.8275,99.4750
2020-04-03,58.2837,81.7614,105.2391
2020-03-27,55.7083,85.3305,114.9526
2020-03-20,49.1781,91.5978,134.0175
2020-03-13,64.1964,99.8887,135.5811
2020-03-06,81.8529,106.7032,131.5535
2020-02-28,89.9437,108.8764,127.8092
2020-02-21,97.9774,110.2167,122.4561
2020-02-14,93.6813,108.2717,122.8622
2020-02-07,91.4377,105.9575,120.4773
2020-01-31,95.7159,102.8885,110.0611
2020-01-24,96.7035,101.6336,106.5637
2020-01-17,97.8683,100.8964,103.9245
2020-01-10,98.2747,100.2882,102.3018
2020-01-03,97.9051,99.7735,101.6419
2019-12-27,97.9297,99.7898,101.6499
2019-12-20,97.9740,99.6519,101.3298
2019-12-13,98.4539,99.4754,100.4968
2019-12-06,96.6966,99.9797,103.2628
2019-11-29,97.1047,100.0886,103.0724
2019-11-22,96.8785,100.0018,103.1250
2019-11-15,95.9762,99.7334,103.4907
2019-11-08,93.7474,100.7272,107.7071
2019-11-01,92.7405,101.2786,109.8167
2019-10-25,93.4848,102.4090,111.3331
2019-10-18,95.6973,103.3531,111.0090
2019-10-11,103.4469,104.7576,106.0684
2019-10-04,101.9756,104.4366,106.8975
2019-09-27,96.8919,103.3429,109.7938
2019-09-20,90.0962,101.3387,112.5813
2019-09-13,89.1801,100.1483,111.1164
2019-09-06,91.2032,99.0428,106.8825
2019-08-30,88.2196,99.7754,111.3313
2019-08-23,85.3649,101.8426,118.3202
2019-08-16,90.3884,104.5400,118.6916
2019-08-09,94.8363,105.6173,116.3984
2019-08-02,97.7502,106.1501,114.5500
2019-07-26,93.7003,104.7950,115.8896
2019-07-19,94.1006,103.0326,111.9646
2019-07-12,95.1463,100.9267,106.7072
