time,TRANGE
2024-07-19,4.8671
2024-07-18,4.2118
2024-07-17,2.7661
2024-07-16,3.5853
2024-07-15,2.2167
2024-07-12,5.6382
2024-07-11,2.7179
2024-07-10,3.6335
2024-07-09,2.0432
2024-07-08,2.4866
2024-07-05,2.0625
2024-07-03,2.7083
2024-07-02,3.0504
2024-07-01,3.3829
2024-06-28,2.8239
2024-06-27,1.9469
2024-06-26,2.1878
2024-06-25,4.1757
2024-06-24,5.7827
2024-06-21,3.4311
2024-06-20,3.5949
2024-06-18,2.2842
2024-06-17,2.1396
2024-06-14,2.1589
2024-06-13,1.2096
2024-06-12,4.2108
2024-06-11,3.4407
2024-06-10,1.8119
2024-06-07,3.1275
2024-06-06,1.5806
2024-06-05,1.9372
2024-06-04,2.4288
2024-06-03,3.1998
2024-05-31,3.0167
2024-05-30,2.7179
2024-05-29,3.3251
2024-05-28,2.3468
2024-05-24,1.7348
2024-05-23,4.8431
2024-05-22,2.1493
2024-05-21,4.8671
2024-05-20,1.7155
2024-05-17,1.7155
2024-05-16,1.7734
2024-05-15,0.9734
2024-05-14,1.5903
2024-05-13,1.2529
2024-05-10,1.7348
2024-05-09,2.2461
2024-05-08,2.2519
2024-05-07,1.2882
2024-05-06,2.8245
2024-05-03,1.8321
2024-05-02,2.1565
2024-05-01,1.8798
2024-04-30,2.0702
2024-04-29,1.9036
2024-04-26,3.0344
2024-04-25,17.5956
2024-04-24,2.7577
2024-04-23,5.4199
2024-04-22,2.7338
2024-04-19,2.1279
2024-04-18,3.1393
2024-04-17,2.7577
2024-04-16,4.2558
2024-04-15,6.2978
2024-04-12,4.0220
2024-04-11,2.1136
2024-04-10,3.6164
2024-04-09,4.3798
2024-04-08,1.2674
2024-04-05,2.2710
2024-04-04,5.6680
2024-04-03,2.7338
2024-04-02,2.1279
2024-04-01,2.3283
2024-03-28,1.5171
2024-03-27,2.3474
2024-03-26,1.4313
2024-03-25,1.9943
2024-03-22,2.3617
2024-03-21,3.7691
2024-03-20,2.5477
2024-03-19,3.1489
2024-03-18,2.7767
2024-03-15,2.6050
2024-03-14,5.3703
2024-03-13,2.6527
2024-03-12,7.1088
2024-03-11,4.8378
2024-03-08,3.2348
2024-03-07,2.4714
2024-03-06,5.8970
2024-03-05,3.2157
2024-03-04,6.0096
2024-03-01,3.1966
2024-02-29,2.0606
2024-02-28,1.7367
2024-02-27,2.3951
2024-02-26,1.9704
2024-02-23,2.1422
2024-02-22,4.6279
2024-02-21,4.4752
2024-02-20,5.4485
2024-02-16,2.8672
2024-02-15,3.2538
2024-02-14,2.6145
2024-02-13,3.6260
2024-02-12,2.3378
2024-02-09,3.1775
2024-02-08,2.9199
2024-02-07,1.3192
2024-02-06,1.5509
2024-02-05,2.3973
2024-02-02,1.6786
2024-02-01,4.5393
2024-01-31,4.4731
2024-01-30,1.7779
2024-01-29,3.2248
2024-01-26,5.8913
2024-01-25,21.7226
2024-01-24,1.8536
2024-01-23,1.4564
2024-01-22,2.8087
2024-01-19,4.4817
2024-01-18,1.8441
2024-01-17,2.1987
2024-01-16,1.8063
2024-01-12,3.6125
2024-01-11,1.8346
2024-01-10,1.5131
2024-01-09,1.5415
2024-01-08,3.1501
2024-01-05,2.0711
2024-01-04,1.6171
2024-01-03,1.5604
2024-01-02,2.9222
2023-12-29,1.2767
2023-12-28,0.5296
2023-12-27,0.9079
2023-12-26,1.1916
2023-12-22,1.5415
2023-12-21,1.4658
2023-12-20,1.6928
2023-12-19,1.3429
2023-12-18,1.6582
2023-12-15,1.9387
