time,ATR
2012-04-10,1.2838
2012-04-09,1.2276
2012-04-05,1.2005
2012-04-04,1.2239
2012-04-03,1.1309
2012-04-02,1.1246
2012-03-30,1.1416
2012-03-29,1.1814
2012-03-28,1.1646
2012-03-27,1.1491
2012-03-26,1.1655
2012-03-23,1.1492
2012-03-22,1.1769
2012-03-21,1.1793
2012-03-20,1.2040
2012-03-19,1.2090
2012-03-16,1.2139
2012-03-15,1.2413
2012-03-14,1.2734
2012-03-13,1.3058
2012-03-12,1.2804
2012-03-09,1.3207
2012-03-08,1.3624
2012-03-07,1.3709
2012-03-06,1.4195
2012-03-05,1.3616
2012-03-02,1.3409
2012-03-01,1.3646
2012-02-29,1.3941
2012-02-28,1.3832
2012-02-27,1.4233
2012-02-24,1.4195
2012-02-23,1.4441
2012-02-22,1.2969
2012-02-21,1.3103
2012-02-17,1.3338
2012-02-16,1.3687
2012-02-15,1.4197
2012-02-14,1.4343
2012-02-13,1.4670
2012-02-10,1.4952
2012-02-09,1.5299
2012-02-08,1.5647
2012-02-07,1.6047
2012-02-06,1.6343
2012-02-03,1.6840
2012-02-02,1.7011
2012-02-01,1.7454
2012-01-31,1.7759
2012-01-30,1.8218
2012-01-27,1.7669
2012-01-26,1.8181
2012-01-25,1.8576
2012-01-24,1.8868
2012-01-23,1.8684
2012-01-20,1.8889
2012-01-19,1.6689
2012-01-18,1.7103
2012-01-17,1.7511
2012-01-13,1.7630
2012-01-12,1.7601
2012-01-11,1.7252
2012-01-10,1.7580
2012-01-09,1.7843
2012-01-06,1.8234
2012-01-05,1.8620
2012-01-04,1.8997
2012-01-03,1.9858
2011-12-30,1.9297
2011-12-29,1.9644
2011-12-28,2.0187
2011-12-27,2.0849
2011-12-23,2.1821
2011-12-22,2.2220
2011-12-21,2.3151
2011-12-20,2.1386
2011-12-19,2.1112
2011-12-16,2.1680
2011-12-15,2.0711
2011-12-14,2.0440
2011-12-13,2.0651
2011-12-12,2.0657
2011-12-09,2.0801
2011-12-08,2.0979
2011-12-07,2.1304
2011-12-06,2.1378
2011-12-05,2.1634
2011-12-02,2.1591
2011-12-01,2.2438
2011-11-30,2.2772
2011-11-29,2.1320
2011-11-28,2.1892
2011-11-25,2.1038
2011-11-23,2.1575
2011-11-22,2.1518
2011-11-21,2.2011
2011-11-18,2.1438
2011-11-17,2.2088
2011-11-16,2.1435
2011-11-15,2.1528
2011-11-14,2.1311
2011-11-11,2.1658
2011-11-10,2.1387
2011-11-09,2.1778
2011-11-08,2.0820
2011-11-07,2.1397
2011-11-04,2.1759
2011-11-03,2.2331
2011-11-02,2.2386
2011-11-01,2.2428
2011-10-31,2.2478
2011-10-28,2.2993
2011-10-27,2.3560
2011-10-26,2.3206
2011-10-25,2.3592
2011-10-24,2.4132
2011-10-21,2.4795
2011-10-20,2.4799
2011-10-19,2.5385
2011-10-18,2.6131
2011-10-17,2.3689
2011-10-14,2.3517
2011-10-13,2.3728
2011-10-12,2.4261
2011-10-11,2.4836
2011-10-10,2.5665
2011-10-07,2.5813
2011-10-06,2.6903
2011-10-05,2.6247
2011-10-04,2.6278
2011-10-03,2.5633
2011-09-30,2.5504
2011-09-29,2.5562
2011-09-28,2.5211
2011-09-27,2.5570
2011-09-26,2.5336
2011-09-23,2.4977
2011-09-22,2.5270
2011-09-21,2.4406
2011-09-20,2.4109
2011-09-19,2.3926
2011-09-16,2.3855
2011-09-15,2.4290
2011-09-14,2.4897
2011-09-13,2.3509
2011-09-12,2.4292
2011-09-09,2.4576
2011-09-08,2.4554
2011-09-07,2.4514
2011-09-06,2.5198
2011-09-02,2.5078
2011-09-01,2.5142
2011-08-31,2.5543
2011-08-30,2.6212
2011-08-29,2.7095
2011-08-26,2.7638
2011-08-25,2.7158
2011-08-24,2.7663
2011-08-23,2.8292
2011-08-22,2.8052
2011-08-19,2.8427
2011-08-18,2.7681
2011-08-17,2.4935
2011-08-16,2.5518
2011-08-15,2.5763
2011-08-12,2.5247
2011-08-11,2.5660
2011-08-10,2.4951
2011-08-09,2.3098
2011-08-08,2.0977
2011-08-05,1.9744
2011-08-04,1.7962
2011-08-03,1.6064
2011-08-02,1.5662
2011-08-01,1.4967
2011-07-29,1.3893
2011-07-28,1.3376
2011-07-27,1.3380
2011-07-26,1.3552
2011-07-25,1.3994
2011-07-22,1.4256
2011-07-21,1.4765
2011-07-20,1.4786
2011-07-19,1.4976
2011-07-18,1.1871
2011-07-15,1.1550
2011-07-14,1.1636
2011-07-13,1.1562
2011-07-12,1.1457
2011-07-11,1.1704
2011-07-08,1.1798
2011-07-07,1.2071
2011-07-06,1.2318
2011-07-05,1.2117
2011-07-01,1.2230
2011-06-30,1.1816
2011-06-29,1.1907
2011-06-28,1.2377
2011-06-27,1.2009
2011-06-24,1.1573
2011-06-23,1.1799
2011-06-22,1.1451
2011-06-21,1.1598
2011-06-20,1.1312
2011-06-17,1.1316
2011-06-16,1.1144
2011-06-15,1.1208
2011-06-14,1.0956
2011-06-13,1.1199
2011-06-10,1.1318
2011-06-09,1.1344
2011-06-08,1.1522
2011-06-07,1.1727
2011-06-06,1.1930
2011-06-03,1.2286
2011-06-02,1.2391
2011-06-01,1.2749
2011-05-31,1.2409
2011-05-27,1.2339
2011-05-26,1.2658
2011-05-25,1.2838
2011-05-24,1.3444
2011-05-23,1.3981
2011-05-20,1.3732
2011-05-19,1.4029
2011-05-18,1.4216
2011-05-17,1.4568
2011-05-16,1.3597
2011-05-13,1.3644
2011-05-12,1.3493
2011-05-11,1.2764
2011-05-10,1.2589
2011-05-09,1.2785
2011-05-06,1.3109
2011-05-05,1.3073
2011-05-04,1.2640
2011-05-03,1.2213
2011-05-02,1.2192
2011-04-29,1.1866
2011-04-28,1.1704
2011-04-27,1.1887
2011-04-26,1.1892
2011-04-25,1.2038
2011-04-21,1.2307
2011-04-20,1.1675
2011-04-19,1.0993
2011-04-18,1.1011
2011-04-15,1.0428
2011-04-14,1.0603
2011-04-13,1.0479
2011-04-12,1.0568
2011-04-11,1.0677
2011-04-08,1.1097
2011-04-07,1.1430
2011-04-06,1.1769
2011-04-05,1.2273
2011-04-04,1.2756
2011-04-01,1.3246
2011-03-31,1.3676
2011-03-30,1.4306
2011-03-29,1.4932
2011-03-28,1.5253
2011-03-25,1.5803
2011-03-24,1.5866
2011-03-23,1.6289
2011-03-22,1.6453
2011-03-21,1.7254
2011-03-18,1.6985
2011-03-17,1.7109
2011-03-16,1.7657
2011-03-15,1.5895
2011-03-14,1.5192
2011-03-11,1.5362
2011-03-10,1.5520
2011-03-09,1.4801
2011-03-08,1.3618
2011-03-07,1.2864
2011-03-04,1.2091
2011-03-03,1.1459
2011-03-02,1.0701
2011-03-01,1.0799
2011-02-28,1.0234
2011-02-25,1.0274
2011-02-24,1.0394
2011-02-23,1.0238
2011-02-22,0.9941
2011-02-18,0.9400
2011-02-17,0.9807
2011-02-16,0.9785
2011-02-15,1.0174
2011-02-14,1.0509
2011-02-11,1.0664
2011-02-10,1.0759
2011-02-09,1.0810
2011-02-08,1.0809
2011-02-07,1.0756
2011-02-04,1.1162
2011-02-03,1.1630
2011-02-02,1.1933
2011-02-01,1.2430
2011-01-31,1.2562
2011-01-28,1.2116
2011-01-27,1.1667
2011-01-26,1.2003
2011-01-25,1.2295
2011-01-24,1.0966
2011-01-21,0.9914
2011-01-20,0.9902
2011-01-19,1.0022
2011-01-18,0.8463
2011-01-14,0.8228
2011-01-13,0.8210
2011-01-12,0.8400
2011-01-11,0.8191
2011-01-10,0.8141
2011-01-07,0.8414
2011-01-06,0.8245
2011-01-05,0.8042
2011-01-04,0.8274
2011-01-03,0.8238
2010-12-31,0.8260
2010-12-30,0.8423
2010-12-29,0.8705
2010-12-28,0.8614
2010-12-27,0.8813
2010-12-23,0.9113
2010-12-22,0.9389
2010-12-21,0.9762
2010-12-20,0.9807
2010-12-17,1.0073
2010-12-16,1.0380
2010-12-15,1.0681
2010-12-14,1.0861
2010-12-13,1.0952
2010-12-10,1.1288
2010-12-09,1.1638
2010-12-08,1.1504
2010-12-07,1.1620
2010-12-06,1.1481
2010-12-03,1.1790
2010-12-02,1.2089
2010-12-01,1.2360
2010-11-30,1.1750
2010-11-29,1.1969
2010-11-26,1.1870
2010-11-24,1.1830
2010-11-23,1.1354
2010-11-22,1.0927
2010-11-19,1.0972
2010-11-18,1.1238
2010-11-17,1.0810
2010-11-16,1.1174
2010-11-15,1.0987
2010-11-12,1.1203
2010-11-11,1.1121
2010-11-10,1.0616
2010-11-09,1.0940
2010-11-08,1.0973
2010-11-05,1.1252
2010-11-04,1.1584
2010-11-03,1.1345
2010-11-02,1.1443
2010-11-01,1.1735
2010-10-29,1.1817
2010-10-28,1.1350
2010-10-27,1.1575
2010-10-26,1.1378
2010-10-25,1.0784
2010-10-22,1.0882
2010-10-21,1.1173
2010-10-20,1.1148
2010-10-19,1.1226
2010-10-18,0.9495
2010-10-15,0.9298
2010-10-14,0.9353
2010-10-13,0.9307
2010-10-12,0.9303
2010-10-11,0.9291
2010-10-08,0.9455
2010-10-07,0.9746
2010-10-06,0.9920
2010-10-05,1.0205
2010-10-04,0.9868
2010-10-01,0.9979
2010-09-30,0.9841
2010-09-29,0.9565
2010-09-28,0.9681
2010-09-27,0.9820
2010-09-24,0.9945
2010-09-23,0.9660
2010-09-22,0.9743
2010-09-21,0.9993
2010-09-20,0.9907
2010-09-17,0.9831
2010-09-16,1.0193
2010-09-15,1.0491
2010-09-14,1.0697
2010-09-13,1.0889
2010-09-10,1.0875
2010-09-09,1.0853
2010-09-08,1.1057
2010-09-07,1.1429
2010-09-03,1.1589
2010-09-02,1.1397
2010-09-01,1.1604
2010-08-31,1.1151
2010-08-30,1.1285
2010-08-27,1.1362
2010-08-26,1.1228
2010-08-25,1.0822
2010-08-24,1.0977
2010-08-23,1.1017
2010-08-20,1.1192
2010-08-19,1.1198
2010-08-18,1.1395
2010-08-17,1.1257
2010-08-16,1.1243
2010-08-13,1.1570
2010-08-12,1.1982
2010-08-11,1.1926
2010-08-10,1.1836
2010-08-09,1.2018
2010-08-06,1.2012
2010-08-05,1.1914
2010-08-04,1.2219
2010-08-03,1.2464
2010-08-02,1.2703
2010-07-30,1.2501
2010-07-29,1.2645
2010-07-28,1.2624
2010-07-27,1.2976
2010-07-26,1.3435
2010-07-23,1.3925
2010-07-22,1.4238
2010-07-21,1.4276
2010-07-20,1.4561
2010-07-19,1.2792
2010-07-16,1.2787
2010-07-15,1.2561
2010-07-14,1.2951
2010-07-13,1.2911
2010-07-12,1.2931
2010-07-09,1.3222
2010-07-08,1.3856
2010-07-07,1.4328
2010-07-06,1.3889
2010-07-02,1.3790
2010-07-01,1.3722
2010-06-30,1.3683
2010-06-29,1.3800
2010-06-28,1.2815
2010-06-25,1.2811
2010-06-24,1.2965
2010-06-23,1.2947
2010-06-22,1.2940
2010-06-21,1.2925
2010-06-18,1.3165
2010-06-17,1.3706
2010-06-16,1.4268
2010-06-15,1.4380
2010-06-14,1.4820
2010-06-11,1.5320
2010-06-10,1.5505
2010-06-09,1.4878
2010-06-08,1.5070
2010-06-07,1.5539
2010-06-04,1.6006
2010-06-03,1.5851
2010-06-02,1.6329
2010-06-01,1.6254
