time,ULTOSC
2023-12-13,52.8235
2023-12-12,58.5736
2023-12-11,62.1738
2023-12-08,59.2181
2023-12-07,55.7641
2023-12-06,58.9582
2023-12-05,67.3963
2023-12-04,70.4636
2023-12-01,73.7189
2023-11-30,71.6551
2023-11-29,66.3269
2023-11-28,68.5378
2023-11-27,68.3579
2023-11-24,71.2559
2023-11-22,68.2527
2023-11-21,70.9637
2023-11-20,72.5669
2023-11-17,67.7567
2023-11-16,67.4462
2023-11-15,66.5080
2023-11-14,66.6175
2023-11-13,66.1474
2023-11-10,66.7430
2023-11-09,64.7778
2023-11-08,57.7996
2023-11-07,56.9334
2023-11-06,63.0178
2023-11-03,61.6813
2023-11-02,62.5595
2023-11-01,56.8846
2023-10-31,53.7196
2023-10-30,48.0283
2023-10-27,50.9253
2023-10-26,58.7631
2023-10-25,48.2317
2023-10-24,45.8574
2023-10-23,40.2384
2023-10-20,43.0223
2023-10-19,46.1414
2023-10-18,52.2834
2023-10-17,53.5850
2023-10-16,47.3548
2023-10-13,47.3194
2023-10-12,51.9629
2023-10-11,57.0184
2023-10-10,50.2064
2023-10-09,52.6770
2023-10-06,51.6553
2023-10-05,43.4439
2023-10-04,39.1538
2023-10-03,35.2577
2023-10-02,34.1042
2023-09-29,36.5317
2023-09-28,40.9995
2023-09-27,38.7771
2023-09-26,34.3064
2023-09-25,40.5777
2023-09-22,42.4442
2023-09-21,43.0885
2023-09-20,48.6707
2023-09-19,44.2569
2023-09-18,36.1590
2023-09-15,42.1881
2023-09-14,47.1276
2023-09-13,47.1721
2023-09-12,46.3635
2023-09-11,53.6346
2023-09-08,54.4696
2023-09-07,57.2646
2023-09-06,64.1635
2023-09-05,59.5563
2023-09-01,65.1673
2023-08-31,57.1142
2023-08-30,61.8624
2023-08-29,60.3868
2023-08-28,53.0256
2023-08-25,50.8159
2023-08-24,47.4006
2023-08-23,45.5187
2023-08-22,41.3706
2023-08-21,45.6202
2023-08-18,38.4281
2023-08-17,38.4532
2023-08-16,47.1052
2023-08-15,48.3982
2023-08-14,48.9800
2023-08-11,56.2540
2023-08-10,54.8554
2023-08-09,56.9484
2023-08-08,63.8053
2023-08-07,62.4376
2023-08-04,61.0892
2023-08-03,69.1799
2023-08-02,69.0124
2023-08-01,64.3570
2023-07-31,62.9089
2023-07-28,61.3687
2023-07-27,62.0243
2023-07-26,59.5078
2023-07-25,56.0179
2023-07-24,53.6085
2023-07-21,49.4062
2023-07-20,50.6146
2023-07-19,51.4053
2023-07-18,50.6842
2023-07-17,47.1364
2023-07-14,49.1098
2023-07-13,48.9719
2023-07-12,46.6997
2023-07-11,55.2270
2023-07-10,51.5752
2023-07-07,49.7432
2023-07-06,57.3222
2023-07-05,57.5255
2023-07-03,50.1220
2023-06-30,47.1123
2023-06-29,46.8208
2023-06-28,37.9942
2023-06-27,40.2567
2023-06-26,35.9318
2023-06-23,32.8683
2023-06-22,38.8034
2023-06-21,44.5329
2023-06-20,47.0404
2023-06-16,55.2429
2023-06-15,62.3348
2023-06-14,59.7433
2023-06-13,65.4089
2023-06-12,65.7356
2023-06-09,63.3897
2023-06-08,63.7504
2023-06-07,68.5855
