time,ROC
2023-12-05,4.5611
2023-12-04,5.3699
2023-12-01,4.8935
2023-11-30,3.9193
2023-11-29,3.9891
2023-11-28,5.0979
2023-11-27,4.3954
2023-11-24,5.8382
2023-11-22,5.9828
2023-11-21,4.5841
2023-11-20,4.7845
2023-11-17,4.5443
2023-11-16,5.2941
2023-11-15,6.1262
2023-11-14,5.1666
2023-11-13,5.0107
2023-11-10,5.7446
2023-11-09,3.1441
2023-11-08,7.9880
2023-11-07,8.0122
2023-11-06,9.2316
2023-11-03,7.8303
2023-11-02,6.5213
2023-11-01,3.8794
2023-10-31,3.0787
2023-10-30,2.4567
2023-10-27,2.9323
2023-10-26,1.7842
2023-10-25,-4.2938
2023-10-24,-3.0399
2023-10-23,-4.0928
2023-10-20,-3.4289
2023-10-19,-2.4802
2023-10-18,-0.7798
2023-10-17,-0.0499
2023-10-16,-1.1293
2023-10-13,-1.3115
2023-10-12,-0.2401
2023-10-11,0.0419
2023-10-10,-0.7889
2023-10-09,-2.9219
2023-10-06,-3.3218
2023-10-05,-3.9761
2023-10-04,-5.8466
2023-10-03,-4.1837
2023-10-02,-2.9568
2023-09-29,-3.8975
2023-09-28,-3.9158
2023-09-27,-2.3064
2023-09-26,-2.0916
2023-09-25,-1.2805
2023-09-22,-0.5214
2023-09-21,-0.0949
2023-09-20,1.1955
2023-09-19,-1.0869
2023-09-18,-1.9265
2023-09-15,-0.5721
2023-09-14,0.3337
2023-09-13,0.0683
2023-09-12,0.1918
2023-09-11,2.0846
2023-09-08,2.8770
2023-09-07,2.8659
2023-09-06,4.6434
2023-09-05,4.1116
2023-09-01,4.6178
2023-08-31,4.3865
2023-08-30,4.4226
2023-08-29,3.2283
2023-08-28,2.8962
2023-08-25,1.5581
2023-08-24,0.2094
2023-08-23,0.6457
2023-08-22,-1.8996
2023-08-21,-1.5340
2023-08-18,-0.8199
2023-08-17,-1.4893
2023-08-16,-1.3120
2023-08-15,0.1345
2023-08-14,-0.4278
2023-08-11,0.9323
2023-08-10,1.3631
2023-08-09,2.1833
2023-08-08,3.9763
2023-08-07,4.7585
2023-08-04,3.8146
2023-08-03,4.3865
2023-08-02,6.4142
2023-08-01,5.8880
2023-07-31,7.4046
2023-07-28,7.5337
2023-07-27,6.7578
2023-07-26,6.1954
2023-07-25,4.3811
2023-07-24,4.9962
2023-07-21,5.1938
2023-07-20,4.7064
