time,APO
2023-03-31,-0.4467
2023-03-30,-1.0296
2023-03-29,-1.4383
2023-03-28,-1.8222
2023-03-27,-2.3170
2023-03-24,-2.7559
2023-03-23,-2.9358
2023-03-22,-3.0083
2023-03-21,-3.0082
2023-03-20,-3.0916
2023-03-17,-3.1383
2023-03-16,-3.1693
2023-03-15,-3.1524
2023-03-14,-2.9987
2023-03-13,-2.9214
2023-03-10,-2.8463
2023-03-09,-2.7072
2023-03-08,-2.5285
2023-03-07,-2.1953
2023-03-06,-1.8403
2023-03-03,-1.4603
2023-03-02,-1.3061
2023-03-01,-1.0463
2023-02-28,-0.9021
2023-02-27,-0.9209
2023-02-24,-0.9248
2023-02-23,-0.9353
2023-02-22,-1.0948
2023-02-21,-1.2288
2023-02-17,-1.4227
2023-02-16,-1.8395
2023-02-15,-2.2666
2023-02-14,-2.6649
2023-02-13,-3.1207
2023-02-10,-3.5371
2023-02-09,-3.4599
2023-02-08,-3.2158
2023-02-07,-2.9446
2023-02-06,-2.7231
2023-02-03,-2.5229
2023-02-02,-2.4522
2023-02-01,-1.9739
2023-01-31,-1.3639
2023-01-30,-0.8084
2023-01-27,-0.2680
2023-01-26,0.3582
2023-01-25,0.8435
2023-01-24,1.0087
2023-01-23,0.6902
2023-01-20,0.4440
2023-01-19,0.1928
2023-01-18,-0.0097
2023-01-17,-0.2162
2023-01-13,-0.6764
2023-01-12,-0.9926
2023-01-11,-1.3498
2023-01-10,-1.7967
2023-01-09,-2.1474
2023-01-06,-2.5031
2023-01-05,-2.9623
2023-01-04,-3.2093
2023-01-03,-3.4272
2022-12-30,-3.0528
2022-12-29,-2.6107
2022-12-28,-2.1936
2022-12-27,-1.9299
2022-12-23,-1.6548
2022-12-22,-1.3323
2022-12-21,-0.9553
2022-12-20,-0.6311
2022-12-19,-0.1419
2022-12-16,0.5488
2022-12-15,1.3008
2022-12-14,1.7487
2022-12-13,1.9284
2022-12-12,2.2911
2022-12-09,2.8225
2022-12-08,3.3867
2022-12-07,3.6928
2022-12-06,4.0886
