time,FAMA,MAMA
2024-03-19,125.5519,150.9197
2024-03-18,125.4244,150.5806
2024-03-15,125.2980,150.2540
2024-03-14,125.1726,149.9301
2024-03-13,125.0482,149.5802
2024-03-12,124.9249,149.1952
2024-03-11,124.8029,148.7960
2024-03-08,124.6824,148.4510
2024-03-07,124.5629,148.0618
2024-03-06,124.4448,147.6630
2024-03-05,124.3282,147.2639
2024-03-04,124.2129,146.9013
2024-03-01,124.0989,146.5244
2024-02-29,123.9862,146.1905
2024-02-28,123.8746,145.8837
2024-02-27,123.7640,145.5713
2024-02-26,123.6544,145.2599
2024-02-23,123.5459,144.9524
2024-02-22,123.4383,144.6265
2024-02-21,123.3318,144.3119
2024-02-20,123.2264,144.0375
2024-02-16,123.1218,143.7244
2024-02-15,123.0183,143.3676
2024-02-14,122.9160,143.0146
2024-02-13,122.8150,142.6899
2024-02-12,122.7152,142.3606
2024-02-09,122.6164,142.0043
2024-02-08,122.5190,141.6426
2024-02-07,122.4229,141.2964
2024-02-06,122.3281,140.9685
2024-02-05,122.2344,140.6404
2024-02-02,122.1419,140.3089
2024-02-01,122.0506,139.9514
2024-01-31,121.9607,139.5797
2024-01-30,121.8721,139.2352
2024-01-29,121.7849,138.8470
2024-01-26,121.6991,138.4619
2024-01-25,121.6149,138.0702
2024-01-24,121.5322,137.6457
2024-01-23,121.4512,137.3746
2024-01-22,121.3712,137.1007
2024-01-19,121.2922,136.8346
2024-01-18,121.2141,136.5787
2024-01-17,121.1369,136.3646
2024-01-16,121.0603,136.1555
2024-01-12,120.9845,135.9360
2024-01-11,120.9094,135.7253
2024-01-10,120.8349,135.5472
2024-01-09,120.7610,135.3762
2024-01-08,120.6875,135.2145
2024-01-05,120.6145,135.0410
2024-01-04,120.5420,134.8847
2024-01-03,120.4700,134.7106
2024-01-02,120.3984,134.5419
2023-12-29,120.3273,134.3582
2023-12-28,120.2568,134.1531
2023-12-27,120.1870,133.9439
2023-12-26,120.1179,133.7355
2023-12-22,120.0494,133.5273
2023-12-21,119.9817,133.3272
2023-12-20,119.9146,133.1381
2023-12-19,119.8482,132.9541
2023-12-18,119.7823,132.7537
2023-12-15,119.7172,132.5401
2023-12-14,119.6527,132.3292
2023-12-13,119.5890,132.1097
2023-12-12,119.5261,131.8812
2023-12-11,119.4640,131.6399
